iid,age,field_cd,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,cluster
120,20.0,6.0,4.0,3.0,5.0,4.0,4.0,8.0,7.0,5.0,3.0,1.0,5.0,10.0,6.0,10.0,9.0,6.0,8.0,3.0,5.0,6.0,8.0,8.0,8.0,9.0,3
121,21.0,3.0,7.0,1.0,2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,2.0,9.0,9.0,7.0,9.0,3
132,27.0,8.0,7.0,2.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,8.0,10.0,10.0,9.0,10.0,2
133,24.0,5.0,6.0,5.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,6.0,8.0,7.0,8.0,7.0,1
134,23.0,10.0,5.0,3.0,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,1
135,26.0,3.0,7.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,9.0,10.0,7.0,9.0,6.0,3
142,24.0,13.0,5.0,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,9.0,9.0,9.0,10.0,7.0,4
143,33.0,1.0,7.0,4.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,7.0,10.0,7.0,8.0,7.0,0
144,23.0,10.0,5.0,2.0,10.0,7.0,9.0,6.0,6.0,6.0,4.0,3.0,7.0,7.0,5.0,4.0,7.0,9.0,8.0,7.0,4.0,7.0,8.0,8.0,9.0,9.0,5
145,24.0,10.0,7.0,1.0,2.0,1.0,2.0,9.0,9.0,5.0,2.0,2.0,1.0,8.0,10.0,10.0,10.0,5.0,8.0,9.0,2.0,5.0,5.0,7.0,9.0,7.0,6
146,36.0,6.0,7.0,1.0,5.0,2.0,5.0,5.0,8.0,8.0,3.0,1.0,3.0,10.0,8.0,8.0,8.0,5.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,0
147,26.0,8.0,5.0,1.0,8.0,7.0,8.0,9.0,9.0,9.0,5.0,2.0,8.0,10.0,8.0,9.0,8.0,6.0,6.0,7.0,10.0,8.0,7.0,8.0,9.0,7.0,1
148,27.0,8.0,4.0,1.0,7.0,4.0,6.0,9.0,9.0,9.0,5.0,2.0,1.0,10.0,10.0,9.0,9.0,5.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,1
149,28.0,13.0,5.0,2.0,8.0,4.0,5.0,8.0,8.0,8.0,8.0,3.0,6.0,6.0,6.0,5.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,1
150,31.0,7.0,5.0,2.0,5.0,1.0,3.0,5.0,3.0,3.0,9.0,1.0,5.0,7.0,1.0,1.0,7.0,5.0,4.0,2.0,10.0,7.0,9.0,8.0,9.0,8.0,2
151,28.0,13.0,3.0,1.0,5.0,1.0,8.0,10.0,9.0,8.0,8.0,4.0,1.0,8.0,1.0,9.0,8.0,9.0,10.0,7.0,7.0,9.0,10.0,10.0,10.0,8.0,1
152,27.0,13.0,4.0,3.0,4.0,1.0,4.0,8.0,9.0,8.0,5.0,5.0,7.0,10.0,5.0,9.0,10.0,9.0,9.0,7.0,1.0,7.0,9.0,8.0,10.0,8.0,6
153,28.0,7.0,6.0,3.0,8.0,5.0,7.0,7.0,7.0,6.0,6.0,5.0,7.0,10.0,6.0,7.0,9.0,7.0,7.0,8.0,5.0,7.0,7.0,6.0,7.0,6.0,2
154,27.0,8.0,4.0,1.0,10.0,7.0,8.0,8.0,6.0,6.0,6.0,1.0,6.0,8.0,7.0,7.0,8.0,6.0,6.0,3.0,2.0,8.0,9.0,9.0,9.0,9.0,2
155,27.0,8.0,5.0,1.0,2.0,1.0,10.0,10.0,7.0,8.0,5.0,1.0,1.0,10.0,4.0,10.0,9.0,5.0,7.0,7.0,4.0,7.0,10.0,6.0,8.0,9.0,6
156,30.0,8.0,6.0,3.0,3.0,7.0,10.0,10.0,10.0,10.0,8.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,10.0,10.0,9.0,10.0,1
157,28.0,8.0,6.0,1.0,8.0,7.0,8.0,8.0,6.0,6.0,9.0,2.0,9.0,7.0,4.0,6.0,7.0,5.0,6.0,6.0,3.0,7.0,8.0,9.0,8.0,9.0,2
174,29.0,8.0,5.0,3.0,5.0,4.0,6.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,4.0,6.0,5.0,9.0,9.0,6.0,5.0,9.0,10.0,8.0,8.0,6.0,0
175,23.0,13.0,3.0,1.0,8.0,2.0,6.0,8.0,7.0,7.0,3.0,3.0,6.0,6.0,5.0,6.0,5.0,6.0,9.0,5.0,3.0,7.0,10.0,8.0,8.0,9.0,4
176,28.0,8.0,6.0,3.0,7.0,6.0,5.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,3.0,6.0,9.0,7.0,8.0,6.0,1
177,22.0,13.0,5.0,2.0,5.0,9.0,6.0,8.0,6.0,4.0,2.0,3.0,7.0,9.0,7.0,6.0,7.0,3.0,4.0,5.0,1.0,9.0,9.0,8.0,9.0,9.0,4
178,35.0,3.0,4.0,2.0,3.0,4.0,7.0,9.0,8.0,8.0,8.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,9.0,9.0,7.0,8.0,7.0,0
179,30.0,6.0,6.0,3.0,5.0,5.0,10.0,10.0,7.0,7.0,5.0,1.0,7.0,10.0,1.0,8.0,8.0,7.0,9.0,10.0,9.0,8.0,10.0,6.0,8.0,10.0,0
180,24.0,8.0,4.0,2.0,7.0,7.0,5.0,9.0,5.0,5.0,8.0,5.0,9.0,6.0,7.0,9.0,9.0,7.0,8.0,9.0,7.0,9.0,9.0,10.0,9.0,9.0,1
181,22.0,4.0,5.0,5.0,3.0,6.0,5.0,9.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,9.0,9.0,9.0,9.0,9.0,3
182,22.0,4.0,4.0,3.0,5.0,6.0,2.0,8.0,3.0,2.0,1.0,4.0,1.0,7.0,8.0,2.0,6.0,4.0,10.0,8.0,1.0,8.0,8.0,8.0,8.0,10.0,5
183,24.0,11.0,7.0,3.0,9.0,6.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,1.0,9.0,7.0,9.0,9.0,7.0,1
194,24.0,3.0,3.0,2.0,8.0,6.0,6.0,9.0,6.0,6.0,4.0,8.0,7.0,9.0,9.0,6.0,9.0,5.0,7.0,9.0,4.0,9.0,10.0,8.0,10.0,10.0,5
195,27.0,10.0,2.0,1.0,7.0,6.0,9.0,8.0,5.0,5.0,9.0,9.0,8.0,10.0,1.0,3.0,4.0,3.0,6.0,5.0,1.0,9.0,8.0,10.0,10.0,8.0,2
196,25.0,7.0,1.0,1.0,3.0,3.0,6.0,7.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,1
197,24.0,13.0,4.0,3.0,6.0,1.0,4.0,10.0,8.0,8.0,4.0,7.0,5.0,9.0,6.0,5.0,10.0,8.0,10.0,7.0,3.0,7.0,8.0,9.0,9.0,7.0,4
198,23.0,13.0,2.0,3.0,6.0,8.0,6.0,9.0,8.0,8.0,9.0,5.0,7.0,4.0,9.0,9.0,9.0,9.0,9.0,10.0,4.0,7.0,9.0,7.0,9.0,7.0,1
199,30.0,7.0,5.0,3.0,8.0,3.0,10.0,10.0,10.0,10.0,1.0,1.0,7.0,10.0,4.0,7.0,8.0,3.0,5.0,7.0,1.0,9.0,7.0,7.0,9.0,9.0,2
200,25.0,8.0,7.0,2.0,10.0,3.0,9.0,8.0,7.0,7.0,10.0,3.0,6.0,8.0,1.0,8.0,8.0,9.0,10.0,3.0,4.0,8.0,10.0,8.0,8.0,8.0,2
201,25.0,8.0,4.0,2.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,9.0,9.0,8.0,1
202,22.0,2.0,6.0,2.0,8.0,8.0,9.0,7.0,6.0,4.0,4.0,1.0,6.0,8.0,7.0,7.0,9.0,6.0,7.0,7.0,1.0,7.0,10.0,9.0,10.0,8.0,5
203,22.0,2.0,6.0,2.0,3.0,1.0,8.0,6.0,4.0,2.0,2.0,1.0,6.0,7.0,10.0,6.0,8.0,3.0,7.0,9.0,2.0,9.0,8.0,9.0,10.0,7.0,5
204,26.0,8.0,5.0,1.0,10.0,5.0,9.0,9.0,10.0,10.0,3.0,1.0,9.0,8.0,4.0,5.0,5.0,3.0,8.0,10.0,7.0,9.0,5.0,9.0,10.0,10.0,1
205,23.0,10.0,7.0,1.0,8.0,2.0,6.0,8.0,6.0,6.0,7.0,2.0,6.0,9.0,3.0,3.0,8.0,5.0,6.0,3.0,5.0,7.0,8.0,9.0,10.0,5.0,2
206,31.0,8.0,5.0,1.0,5.0,5.0,5.0,9.0,7.0,7.0,7.0,7.0,9.0,9.0,5.0,7.0,7.0,7.0,9.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,0
207,23.0,10.0,3.0,1.0,10.0,8.0,8.0,7.0,5.0,5.0,2.0,3.0,4.0,3.0,7.0,7.0,6.0,5.0,7.0,9.0,6.0,8.0,8.0,10.0,8.0,9.0,5
208,25.0,10.0,4.0,3.0,9.0,7.0,7.0,9.0,10.0,10.0,10.0,5.0,8.0,8.0,5.0,7.0,9.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,1
209,28.0,13.0,6.0,2.0,3.0,2.0,6.0,8.0,5.0,5.0,6.0,8.0,8.0,3.0,6.0,7.0,8.0,7.0,10.0,3.0,3.0,7.0,9.0,8.0,7.0,8.0,4
210,29.0,10.0,6.0,3.0,9.0,3.0,9.0,8.0,9.0,9.0,9.0,1.0,2.0,9.0,5.0,7.0,7.0,7.0,7.0,5.0,1.0,8.0,8.0,6.0,9.0,9.0,2
211,28.0,13.0,4.0,1.0,9.0,8.0,9.0,10.0,9.0,9.0,5.0,8.0,1.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,7.0,7.0,9.0,9.0,9.0,9.0,1
212,27.0,8.0,5.0,2.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,3.0,7.0,9.0,7.0,8.0,9.0,1
213,25.0,13.0,4.0,2.0,8.0,7.0,9.0,8.0,8.0,7.0,6.0,7.0,7.0,8.0,7.0,10.0,10.0,8.0,9.0,8.0,5.0,8.0,10.0,9.0,9.0,9.0,1
234,22.0,3.0,7.0,3.0,5.0,3.0,10.0,10.0,9.0,5.0,2.0,1.0,4.0,9.0,5.0,6.0,5.0,5.0,9.0,7.0,4.0,7.0,7.0,8.0,8.0,10.0,5
235,23.0,9.0,4.0,3.0,1.0,3.0,3.0,10.0,9.0,10.0,2.0,1.0,7.0,7.0,1.0,9.0,9.0,6.0,10.0,10.0,7.0,6.0,9.0,9.0,8.0,9.0,6
236,24.0,10.0,7.0,1.0,9.0,6.0,3.0,7.0,9.0,9.0,7.0,1.0,8.0,7.0,5.0,4.0,7.0,4.0,10.0,4.0,2.0,7.0,9.0,10.0,8.0,8.0,2
237,34.0,7.0,7.0,4.0,1.0,1.0,10.0,7.0,8.0,9.0,9.0,1.0,1.0,10.0,6.0,8.0,6.0,2.0,9.0,2.0,10.0,8.0,10.0,7.0,8.0,8.0,0
238,27.0,15.0,2.0,1.0,8.0,5.0,8.0,8.0,10.0,10.0,8.0,2.0,8.0,7.0,5.0,9.0,9.0,10.0,10.0,7.0,6.0,10.0,9.0,10.0,9.0,8.0,1
239,34.0,10.0,6.0,3.0,3.0,3.0,5.0,8.0,8.0,7.0,8.0,1.0,6.0,9.0,6.0,8.0,8.0,6.0,7.0,1.0,8.0,7.0,9.0,7.0,9.0,4.0,0
240,26.0,8.0,6.0,3.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,14.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,8.0,5.0,3.0,6.0,1
241,29.0,8.0,4.0,2.0,8.0,1.0,5.0,7.0,7.0,7.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,6.0,7.0,6.0,3.0,8.0,10.0,8.0,8.0,8.0,2
242,26.0,3.0,7.0,3.0,6.0,5.0,5.0,8.0,10.0,10.0,9.0,4.0,9.0,10.0,1.0,9.0,10.0,10.0,10.0,1.0,8.0,7.0,9.0,7.0,8.0,4.0,3
252,28.0,13.0,6.0,2.0,4.0,3.0,3.0,8.0,7.0,6.0,7.0,4.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,10.0,6
253,33.0,3.0,6.0,6.0,5.0,3.0,5.0,8.0,10.0,10.0,6.0,1.0,6.0,10.0,7.0,7.0,10.0,7.0,7.0,7.0,3.0,8.0,10.0,9.0,8.0,7.0,0
254,22.0,7.0,6.0,2.0,8.0,2.0,6.0,10.0,9.0,9.0,8.0,1.0,7.0,9.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,10.0,8.0,1
255,26.0,10.0,7.0,3.0,6.0,8.0,9.0,6.0,6.0,6.0,4.0,2.0,5.0,6.0,4.0,7.0,7.0,8.0,8.0,9.0,1.0,6.0,8.0,6.0,7.0,6.0,4
256,24.0,4.0,6.0,4.0,5.0,3.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,8.0,6.0,8.0,8.0,8.0,9.0,3.0,6.0,9.0,6.0,8.0,6.0,5
