iid,age,field_cd,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,cluster
97,29.0,10.0,5.0,2.0,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0,7.0,5.0,7.0,6.0,6.0,0
98,39.0,11.0,4.0,2.0,8.0,8.0,8.0,7.0,3.0,3.0,5.0,1.0,7.0,7.0,3.0,7.0,8.0,6.0,8.0,2.0,7.0,8.0,8.0,8.0,8.0,8.0,6
99,28.0,1.0,3.0,2.0,5.0,5.0,5.0,8.0,10.0,10.0,5.0,5.0,9.0,6.0,6.0,10.0,10.0,10.0,10.0,8.0,5.0,10.0,10.0,10.0,10.0,8.0,2
100,30.0,8.0,3.0,2.0,5.0,4.0,6.0,7.0,6.0,6.0,2.0,2.0,4.0,6.0,5.0,7.0,7.0,3.0,7.0,6.0,2.0,7.0,8.0,8.0,9.0,6.0,6
101,22.0,8.0,4.0,3.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,8.0,8.0,8.0,9.0,9.0,1
102,32.0,10.0,4.0,4.0,9.0,9.0,9.0,9.0,4.0,4.0,7.0,2.0,5.0,5.0,4.0,4.0,9.0,3.0,5.0,5.0,2.0,8.0,5.0,7.0,10.0,9.0,0
103,26.0,8.0,4.0,1.0,8.0,7.0,8.0,8.0,6.0,4.0,8.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,6.0,3.0,8.0,8.0,8.0,9.0,9.0,0
104,27.0,10.0,5.0,3.0,8.0,3.0,8.0,9.0,8.0,8.0,9.0,5.0,8.0,7.0,3.0,8.0,7.0,6.0,8.0,3.0,7.0,9.0,8.0,7.0,9.0,9.0,5
105,25.0,1.0,7.0,1.0,9.0,9.0,6.0,8.0,5.0,5.0,3.0,4.0,7.0,8.0,6.0,6.0,7.0,4.0,7.0,5.0,5.0,8.0,7.0,9.0,8.0,6.0,4
106,22.0,1.0,7.0,3.0,2.0,4.0,2.0,9.0,6.0,5.0,4.0,9.0,2.0,9.0,8.0,7.0,9.0,2.0,8.0,5.0,3.0,4.0,7.0,3.0,9.0,2.0,3
107,21.0,7.0,4.0,1.0,7.0,2.0,4.0,7.0,6.0,7.0,8.0,1.0,7.0,7.0,1.0,5.0,7.0,9.0,9.0,1.0,10.0,7.0,9.0,9.0,9.0,6.0,2
108,24.0,5.0,6.0,3.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,4.0,8.0,3.0,7.0,2.0,3
109,25.0,14.0,4.0,1.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,6.0,9.0,8.0,9.0,8.0,5
110,28.0,14.0,6.0,1.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,7.0,9.0,8.0,8.0,7.0,5
111,27.0,8.0,5.0,1.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,1.0,5.0,9.0,5.0,8.0,9.0,8.0,5.0,3.0,5.0,5.0,8.0,5.0,8.0,5.0,1
122,22.0,1.0,3.0,1.0,7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,7.0,10.0,8.0,8.0,8.0,4
123,18.0,5.0,5.0,1.0,9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,8.0,7.0,7.0,7.0,8.0,4
124,22.0,8.0,4.0,1.0,5.0,5.0,8.0,10.0,8.0,8.0,6.0,5.0,8.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,10.0,1
125,21.0,4.0,3.0,1.0,3.0,1.0,9.0,10.0,9.0,10.0,1.0,1.0,10.0,9.0,2.0,9.0,9.0,9.0,9.0,10.0,7.0,9.0,6.0,10.0,9.0,10.0,2
126,22.0,7.0,6.0,3.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,9.0,10.0,9.0,9.0,9.0,1
127,22.0,5.0,5.0,1.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,8.0,8.0,9.0,9.0,8.0,4
128,21.0,5.0,3.0,2.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,8.0,7.0,7.0,8.0,7.0,4
130,20.0,5.0,6.0,2.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,5.0,6.0,6.0,6.0,6.0,4
131,19.0,5.0,7.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,4.0,6.0,4.0,6.0,6.0,3
137,26.0,8.0,4.0,1.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,7.0,9.0,8.0,9.0,8.0,0
138,32.0,8.0,3.0,2.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,8.0,8.0,8.0,8.0,8.0,6
139,37.0,5.0,6.0,3.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,9.0,6.0,6
140,29.0,8.0,5.0,2.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,7.0,7.0,9.0,8.0,8.0,0
141,28.0,8.0,6.0,2.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,7.0,9.0,8.0,8.0,6.0,1
158,23.0,10.0,6.0,2.0,2.0,4.0,4.0,6.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,5.0,8.0,4.0,9.0,5.0,1.0,7.0,9.0,7.0,9.0,6.0,3
159,28.0,10.0,6.0,2.0,7.0,7.0,6.0,9.0,9.0,8.0,6.0,4.0,5.0,8.0,7.0,7.0,9.0,8.0,9.0,7.0,2.0,5.0,9.0,8.0,9.0,7.0,1
160,29.0,8.0,5.0,2.0,9.0,8.0,10.0,6.0,6.0,4.0,3.0,4.0,8.0,6.0,3.0,7.0,9.0,6.0,9.0,3.0,2.0,8.0,8.0,9.0,8.0,9.0,0
161,22.0,10.0,4.0,2.0,9.0,9.0,9.0,8.0,7.0,6.0,7.0,7.0,9.0,9.0,8.0,6.0,8.0,6.0,9.0,6.0,2.0,8.0,7.0,9.0,9.0,7.0,1
162,27.0,10.0,6.0,2.0,3.0,3.0,3.0,8.0,7.0,7.0,6.0,2.0,8.0,5.0,4.0,3.0,9.0,10.0,10.0,7.0,3.0,7.0,8.0,7.0,9.0,8.0,5
163,26.0,9.0,3.0,3.0,6.0,2.0,2.0,4.0,8.0,8.0,4.0,1.0,1.0,8.0,1.0,6.0,6.0,4.0,6.0,2.0,1.0,7.0,8.0,8.0,9.0,7.0,3
164,27.0,7.0,6.0,2.0,7.0,5.0,5.0,6.0,7.0,7.0,7.0,1.0,3.0,7.0,2.0,5.0,6.0,4.0,6.0,2.0,2.0,7.0,9.0,6.0,9.0,4.0,3
165,30.0,13.0,6.0,3.0,3.0,1.0,6.0,6.0,7.0,7.0,2.0,1.0,1.0,10.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,8.0,6.0,7.0,9.0,2.0,6
166,26.0,8.0,5.0,2.0,5.0,5.0,9.0,4.0,4.0,2.0,5.0,1.0,3.0,9.0,1.0,5.0,8.0,7.0,10.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,3
167,23.0,10.0,6.0,2.0,9.0,9.0,8.0,6.0,8.0,8.0,9.0,2.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0,3.0,2.0,6.0,7.0,7.0,7.0,5.0,5
168,23.0,10.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3
169,28.0,10.0,6.0,2.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,1.0,6.0,4.0,2.0,7.0,6.0,8.0,8.0,4.0,4.0,7.0,9.0,7.0,8.0,7.0,5
170,28.0,10.0,5.0,3.0,2.0,1.0,8.0,8.0,8.0,8.0,5.0,3.0,1.0,9.0,8.0,7.0,8.0,6.0,8.0,4.0,5.0,7.0,8.0,6.0,9.0,8.0,6
171,29.0,8.0,4.0,2.0,8.0,2.0,8.0,8.0,5.0,5.0,5.0,2.0,8.0,9.0,6.0,6.0,9.0,4.0,9.0,7.0,1.0,10.0,10.0,10.0,10.0,10.0,0
172,27.0,8.0,3.0,1.0,7.0,8.0,7.0,8.0,4.0,5.0,5.0,6.0,8.0,7.0,4.0,6.0,8.0,8.0,7.0,6.0,3.0,5.0,6.0,9.0,8.0,9.0,0
173,22.0,2.0,4.0,1.0,10.0,8.0,9.0,6.0,5.0,6.0,7.0,4.0,8.0,7.0,4.0,5.0,6.0,9.0,10.0,3.0,6.0,7.0,9.0,9.0,9.0,9.0,4
184,34.0,8.0,4.0,2.0,5.0,2.0,4.0,8.0,8.0,7.0,8.0,3.0,8.0,8.0,3.0,9.0,8.0,5.0,6.0,2.0,8.0,6.0,10.0,7.0,9.0,5.0,6
185,25.0,2.0,7.0,4.0,8.0,7.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,10.0,7.0,8.0,8.0,1
186,24.0,5.0,7.0,3.0,5.0,1.0,4.0,9.0,5.0,3.0,6.0,1.0,1.0,6.0,7.0,4.0,7.0,8.0,8.0,6.0,3.0,4.0,8.0,4.0,7.0,6.0,3
187,26.0,8.0,4.0,1.0,3.0,5.0,10.0,5.0,10.0,10.0,1.0,2.0,1.0,10.0,5.0,8.0,8.0,10.0,10.0,1.0,1.0,8.0,9.0,7.0,10.0,7.0,5
188,21.0,5.0,3.0,1.0,2.0,1.0,5.0,10.0,8.0,8.0,5.0,7.0,5.0,7.0,3.0,5.0,5.0,5.0,7.0,7.0,3.0,7.0,5.0,7.0,10.0,10.0,2
189,27.0,1.0,6.0,2.0,8.0,7.0,8.0,5.0,7.0,7.0,7.0,7.0,7.0,9.0,5.0,7.0,9.0,7.0,8.0,4.0,7.0,8.0,8.0,8.0,8.0,9.0,2
190,25.0,13.0,7.0,3.0,7.0,7.0,8.0,3.0,2.0,2.0,6.0,5.0,9.0,8.0,2.0,4.0,7.0,9.0,10.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,0
191,28.0,8.0,4.0,2.0,8.0,1.0,7.0,8.0,6.0,6.0,6.0,1.0,8.0,7.0,3.0,4.0,8.0,4.0,7.0,1.0,7.0,7.0,7.0,6.0,7.0,8.0,5
192,24.0,8.0,6.0,2.0,7.0,5.0,7.0,7.0,3.0,2.0,6.0,8.0,7.0,9.0,6.0,3.0,6.0,7.0,8.0,4.0,5.0,7.0,10.0,9.0,9.0,10.0,0
193,25.0,1.0,6.0,2.0,8.0,10.0,7.0,9.0,9.0,8.0,1.0,1.0,4.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,5.0,7.0,9.0,5.0,10.0,7.0,1
214,23.0,10.0,6.0,2.0,9.0,3.0,10.0,8.0,6.0,7.0,7.0,4.0,7.0,3.0,1.0,9.0,6.0,4.0,6.0,7.0,1.0,8.0,10.0,10.0,9.0,8.0,5
215,26.0,8.0,4.0,1.0,8.0,6.0,9.0,9.0,6.0,4.0,2.0,7.0,6.0,9.0,5.0,2.0,9.0,2.0,7.0,9.0,2.0,7.0,8.0,9.0,9.0,9.0,0
216,27.0,8.0,5.0,3.0,2.0,1.0,2.0,7.0,7.0,5.0,3.0,5.0,1.0,13.0,6.0,6.0,7.0,6.0,5.0,2.0,1.0,5.0,10.0,9.0,9.0,10.0,3
217,26.0,10.0,4.0,2.0,1.0,2.0,8.0,7.0,8.0,8.0,10.0,1.0,2.0,10.0,4.0,8.0,6.0,10.0,10.0,1.0,7.0,7.0,10.0,7.0,10.0,10.0,5
218,24.0,10.0,4.0,2.0,9.0,3.0,5.0,7.0,9.0,10.0,7.0,3.0,7.0,5.0,1.0,5.0,7.0,8.0,8.0,6.0,1.0,7.0,6.0,3.0,10.0,10.0,5
219,26.0,8.0,3.0,2.0,8.0,2.0,7.0,7.0,7.0,8.0,3.0,3.0,6.0,7.0,2.0,6.0,7.0,7.0,10.0,3.0,10.0,7.0,7.0,6.0,9.0,6.0,5
220,25.0,13.0,5.0,2.0,9.0,9.0,5.0,10.0,9.0,10.0,10.0,6.0,8.0,10.0,2.0,5.0,5.0,5.0,9.0,5.0,5.0,10.0,10.0,10.0,10.0,10.0,1
221,27.0,8.0,6.0,3.0,5.0,6.0,3.0,7.0,6.0,3.0,4.0,3.0,7.0,8.0,7.0,8.0,8.0,4.0,4.0,4.0,1.0,7.0,9.0,7.0,9.0,9.0,3
222,27.0,2.0,6.0,3.0,5.0,1.0,6.0,8.0,10.0,9.0,6.0,4.0,7.0,9.0,1.0,9.0,9.0,10.0,8.0,3.0,1.0,4.0,9.0,7.0,9.0,4.0,2
223,28.0,7.0,4.0,2.0,8.0,7.0,6.0,6.0,8.0,7.0,6.0,7.0,8.0,9.0,6.0,5.0,10.0,6.0,7.0,5.0,2.0,7.0,8.0,7.0,9.0,6.0,1
224,32.0,3.0,7.0,4.0,6.0,4.0,4.0,7.0,5.0,5.0,5.0,6.0,8.0,10.0,1.0,8.0,9.0,2.0,4.0,1.0,8.0,8.0,10.0,8.0,8.0,8.0,6
225,28.0,8.0,7.0,2.0,10.0,8.0,3.0,8.0,8.0,8.0,7.0,3.0,9.0,8.0,8.0,9.0,7.0,9.0,9.0,2.0,6.0,5.0,9.0,7.0,6.0,7.0,1
226,23.0,8.0,3.0,1.0,10.0,7.0,8.0,6.0,7.0,7.0,3.0,2.0,8.0,4.0,5.0,6.0,7.0,4.0,9.0,2.0,4.0,10.0,10.0,10.0,10.0,10.0,0
227,26.0,8.0,6.0,3.0,7.0,7.0,7.0,10.0,9.0,7.0,2.0,6.0,5.0,10.0,8.0,8.0,9.0,5.0,7.0,5.0,1.0,7.0,10.0,8.0,10.0,10.0,1
228,24.0,10.0,7.0,3.0,3.0,1.0,2.0,8.0,4.0,5.0,8.0,4.0,6.0,9.0,2.0,4.0,7.0,8.0,9.0,2.0,8.0,5.0,8.0,4.0,7.0,8.0,3
229,28.0,10.0,6.0,3.0,8.0,5.0,7.0,7.0,1.0,1.0,5.0,3.0,3.0,8.0,5.0,1.0,5.0,2.0,6.0,1.0,1.0,8.0,7.0,5.0,10.0,10.0,0
230,42.0,13.0,7.0,3.0,1.0,1.0,2.0,1.0,10.0,10.0,10.0,1.0,1.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6
231,30.0,13.0,6.0,3.0,5.0,2.0,7.0,9.0,9.0,6.0,8.0,1.0,9.0,9.0,1.0,8.0,9.0,9.0,10.0,1.0,7.0,8.0,8.0,8.0,9.0,3.0,5
232,31.0,13.0,5.0,4.0,5.0,5.0,9.0,8.0,7.0,8.0,9.0,3.0,8.0,7.0,4.0,6.0,8.0,7.0,7.0,3.0,5.0,8.0,8.0,8.0,8.0,6.0,5
233,29.0,13.0,3.0,2.0,10.0,9.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,5.0,10.0,8.0,10.0,10.0,10.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,1
243,27.0,16.0,6.0,2.0,7.0,2.0,7.0,9.0,5.0,8.0,5.0,7.0,3.0,9.0,5.0,5.0,9.0,8.0,8.0,6.0,2.0,7.0,9.0,8.0,9.0,5.0,5
244,28.0,8.0,5.0,3.0,5.0,2.0,10.0,8.0,6.0,4.0,9.0,1.0,3.0,13.0,9.0,8.0,9.0,3.0,4.0,3.0,1.0,7.0,10.0,7.0,10.0,10.0,3
245,32.0,7.0,5.0,2.0,3.0,1.0,2.0,6.0,7.0,8.0,4.0,8.0,6.0,9.0,2.0,7.0,8.0,6.0,6.0,1.0,6.0,5.0,7.0,6.0,8.0,7.0,6
246,25.0,10.0,7.0,6.0,6.0,5.0,5.0,7.0,5.0,5.0,3.0,2.0,6.0,8.0,8.0,9.0,9.0,8.0,9.0,5.0,2.0,7.0,8.0,6.0,7.0,6.0,3
247,25.0,10.0,6.0,4.0,5.0,4.0,7.0,1.0,3.0,2.0,9.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,5.0,10.0,2.0,8.0,4.0,3
248,27.0,8.0,4.0,1.0,7.0,1.0,8.0,7.0,5.0,1.0,8.0,6.0,8.0,6.0,3.0,7.0,7.0,4.0,7.0,6.0,1.0,5.0,6.0,8.0,8.0,8.0,0
249,33.0,8.0,3.0,1.0,7.0,9.0,1.0,10.0,8.0,6.0,1.0,1.0,6.0,10.0,7.0,3.0,8.0,8.0,5.0,4.0,1.0,7.0,9.0,7.0,10.0,7.0,6
250,25.0,6.0,2.0,1.0,7.0,2.0,8.0,10.0,10.0,10.0,6.0,1.0,2.0,10.0,1.0,9.0,9.0,10.0,10.0,6.0,5.0,10.0,9.0,9.0,10.0,10.0,2
251,33.0,7.0,4.0,1.0,7.0,6.0,1.0,6.0,8.0,8.0,5.0,8.0,4.0,9.0,7.0,6.0,9.0,6.0,8.0,2.0,3.0,8.0,10.0,9.0,10.0,9.0,6
273,29.0,10.0,5.0,2.0,6.0,1.0,5.0,7.0,7.0,4.0,8.0,1.0,3.0,2.0,5.0,7.0,8.0,8.0,8.0,3.0,2.0,7.0,10.0,5.0,7.0,7.0,5
274,24.0,3.0,4.0,2.0,3.0,3.0,4.0,7.0,6.0,5.0,4.0,5.0,1.0,10.0,7.0,6.0,8.0,9.0,10.0,8.0,7.0,7.0,7.0,10.0,9.0,9.0,2
275,21.0,5.0,4.0,3.0,9.0,1.0,10.0,6.0,7.0,7.0,4.0,6.0,5.0,10.0,1.0,9.0,7.0,7.0,9.0,5.0,9.0,10.0,7.0,6.0,10.0,10.0,2
276,26.0,10.0,4.0,1.0,6.0,2.0,8.0,9.0,8.0,9.0,2.0,3.0,6.0,9.0,1.0,4.0,7.0,6.0,7.0,2.0,2.0,7.0,6.0,7.0,10.0,8.0,5
277,25.0,10.0,7.0,5.0,10.0,6.0,10.0,5.0,8.0,8.0,10.0,5.0,3.0,8.0,2.0,7.0,8.0,6.0,6.0,1.0,2.0,4.0,8.0,8.0,8.0,5.0,5
