,iid,field_cd
762,202,Natural Science/Medical
763,203,Natural Science/Medical
764,202,Natural Science/Medical
765,203,Natural Science/Medical
766,202,Natural Science/Medical
767,203,Natural Science/Medical
768,202,Natural Science/Medical
769,203,Natural Science/Medical
770,202,Natural Science/Medical
771,203,Natural Science/Medical
772,202,Natural Science/Medical
773,203,Natural Science/Medical
774,202,Natural Science/Medical
775,203,Natural Science/Medical
776,202,Natural Science/Medical
777,203,Natural Science/Medical
778,202,Natural Science/Medical
779,203,Natural Science/Medical
780,202,Natural Science/Medical
781,203,Natural Science/Medical
782,202,Natural Science/Medical
783,203,Natural Science/Medical
784,202,Natural Science/Medical
785,203,Natural Science/Medical
786,202,Natural Science/Medical
787,203,Natural Science/Medical
788,202,Natural Science/Medical
789,203,Natural Science/Medical
790,202,Natural Science/Medical
791,203,Natural Science/Medical
792,286,Natural Science/Medical
793,286,Natural Science/Medical
794,286,Natural Science/Medical
795,286,Natural Science/Medical
796,286,Natural Science/Medical
797,286,Natural Science/Medical
798,286,Natural Science/Medical
799,286,Natural Science/Medical
800,286,Natural Science/Medical
801,286,Natural Science/Medical
802,286,Natural Science/Medical
803,286,Natural Science/Medical
804,286,Natural Science/Medical
805,286,Natural Science/Medical
806,286,Natural Science/Medical
807,286,Natural Science/Medical
808,286,Natural Science/Medical
809,286,Natural Science/Medical
810,286,Natural Science/Medical
811,286,Natural Science/Medical
812,286,Natural Science/Medical
813,402,Natural Science/Medical
814,402,Natural Science/Medical
815,402,Natural Science/Medical
816,402,Natural Science/Medical
817,402,Natural Science/Medical
818,402,Natural Science/Medical
819,402,Natural Science/Medical
820,402,Natural Science/Medical
821,402,Natural Science/Medical
822,402,Natural Science/Medical
823,402,Natural Science/Medical
824,402,Natural Science/Medical
825,402,Natural Science/Medical
826,402,Natural Science/Medical
827,402,Natural Science/Medical
828,402,Natural Science/Medical
829,402,Natural Science/Medical
830,402,Natural Science/Medical
831,506,Natural Science/Medical
832,507,Natural Science/Medical
833,508,Natural Science/Medical
834,506,Natural Science/Medical
835,507,Natural Science/Medical
836,508,Natural Science/Medical
837,506,Natural Science/Medical
838,507,Natural Science/Medical
839,508,Natural Science/Medical
840,506,Natural Science/Medical
841,507,Natural Science/Medical
842,508,Natural Science/Medical
843,506,Natural Science/Medical
844,507,Natural Science/Medical
845,508,Natural Science/Medical
846,506,Natural Science/Medical
847,507,Natural Science/Medical
848,508,Natural Science/Medical
849,536,Natural Science/Medical
850,536,Natural Science/Medical
851,536,Natural Science/Medical
852,536,Natural Science/Medical
853,536,Natural Science/Medical
854,536,Natural Science/Medical
855,536,Natural Science/Medical
856,536,Natural Science/Medical
857,536,Natural Science/Medical
858,536,Natural Science/Medical
859,536,Natural Science/Medical
860,536,Natural Science/Medical
861,536,Natural Science/Medical
862,536,Natural Science/Medical
863,536,Natural Science/Medical
864,536,Natural Science/Medical
865,536,Natural Science/Medical
866,536,Natural Science/Medical
867,536,Natural Science/Medical
868,536,Natural Science/Medical
869,536,Natural Science/Medical
870,536,Natural Science/Medical
1567,53,Natural Science/Medical
1568,53,Natural Science/Medical
1569,53,Natural Science/Medical
1570,53,Natural Science/Medical
1571,53,Natural Science/Medical
1572,53,Natural Science/Medical
1573,53,Natural Science/Medical
1574,53,Natural Science/Medical
1575,53,Natural Science/Medical
1576,53,Natural Science/Medical
1577,53,Natural Science/Medical
1578,53,Natural Science/Medical
1579,53,Natural Science/Medical
1580,53,Natural Science/Medical
1581,53,Natural Science/Medical
1582,53,Natural Science/Medical
1583,53,Natural Science/Medical
1584,53,Natural Science/Medical
1585,53,Natural Science/Medical
1586,125,Natural Science/Medical
1587,125,Natural Science/Medical
1588,125,Natural Science/Medical
1589,125,Natural Science/Medical
1590,125,Natural Science/Medical
1591,125,Natural Science/Medical
1592,125,Natural Science/Medical
1593,125,Natural Science/Medical
1594,125,Natural Science/Medical
1595,181,Natural Science/Medical
1596,182,Natural Science/Medical
1597,181,Natural Science/Medical
1598,182,Natural Science/Medical
1599,181,Natural Science/Medical
1600,182,Natural Science/Medical
1601,181,Natural Science/Medical
1602,182,Natural Science/Medical
1603,181,Natural Science/Medical
1604,182,Natural Science/Medical
1605,181,Natural Science/Medical
1606,182,Natural Science/Medical
1607,181,Natural Science/Medical
1608,182,Natural Science/Medical
1609,181,Natural Science/Medical
1610,182,Natural Science/Medical
1611,181,Natural Science/Medical
1612,182,Natural Science/Medical
1613,181,Natural Science/Medical
1614,182,Natural Science/Medical
1615,256,Natural Science/Medical
1616,268,Natural Science/Medical
1617,256,Natural Science/Medical
1618,268,Natural Science/Medical
1619,256,Natural Science/Medical
1620,268,Natural Science/Medical
1621,256,Natural Science/Medical
1622,268,Natural Science/Medical
1623,256,Natural Science/Medical
1624,268,Natural Science/Medical
1625,256,Natural Science/Medical
1626,268,Natural Science/Medical
1627,256,Natural Science/Medical
1628,268,Natural Science/Medical
1629,256,Natural Science/Medical
1630,268,Natural Science/Medical
1631,256,Natural Science/Medical
1632,268,Natural Science/Medical
1633,256,Natural Science/Medical
1634,268,Natural Science/Medical
1635,256,Natural Science/Medical
1636,268,Natural Science/Medical
1637,256,Natural Science/Medical
1638,268,Natural Science/Medical
1639,256,Natural Science/Medical
1640,268,Natural Science/Medical
1641,256,Natural Science/Medical
1642,268,Natural Science/Medical
1643,256,Natural Science/Medical
1644,268,Natural Science/Medical
1645,256,Natural Science/Medical
1646,268,Natural Science/Medical
1647,256,Natural Science/Medical
1648,268,Natural Science/Medical
1649,256,Natural Science/Medical
1650,268,Natural Science/Medical
1651,256,Natural Science/Medical
1652,268,Natural Science/Medical
1653,256,Natural Science/Medical
1654,268,Natural Science/Medical
1655,256,Natural Science/Medical
1656,268,Natural Science/Medical
1657,470,Natural Science/Medical
1658,471,Natural Science/Medical
1659,470,Natural Science/Medical
1660,471,Natural Science/Medical
1661,470,Natural Science/Medical
1662,471,Natural Science/Medical
1663,470,Natural Science/Medical
1664,471,Natural Science/Medical
1665,470,Natural Science/Medical
1666,471,Natural Science/Medical
1667,470,Natural Science/Medical
1668,471,Natural Science/Medical
1669,470,Natural Science/Medical
1670,471,Natural Science/Medical
1671,470,Natural Science/Medical
1672,471,Natural Science/Medical
1673,470,Natural Science/Medical
1674,471,Natural Science/Medical
1675,470,Natural Science/Medical
1676,471,Natural Science/Medical
1677,470,Natural Science/Medical
1678,471,Natural Science/Medical
1679,470,Natural Science/Medical
1680,471,Natural Science/Medical
1681,470,Natural Science/Medical
1682,471,Natural Science/Medical
1683,470,Natural Science/Medical
1684,471,Natural Science/Medical
1685,470,Natural Science/Medical
1686,471,Natural Science/Medical
1687,524,Natural Science/Medical
1688,524,Natural Science/Medical
1689,524,Natural Science/Medical
1690,524,Natural Science/Medical
1691,524,Natural Science/Medical
1692,524,Natural Science/Medical
1693,524,Natural Science/Medical
1694,524,Natural Science/Medical
1695,524,Natural Science/Medical
1696,524,Natural Science/Medical
1697,524,Natural Science/Medical
1698,524,Natural Science/Medical
1699,524,Natural Science/Medical
1700,524,Natural Science/Medical
1701,524,Natural Science/Medical
1702,524,Natural Science/Medical
1703,524,Natural Science/Medical
1704,524,Natural Science/Medical
1705,524,Natural Science/Medical
1706,524,Natural Science/Medical
1707,524,Natural Science/Medical
1708,524,Natural Science/Medical
5682,97,Natural Science/Medical
5683,102,Natural Science/Medical
5684,104,Natural Science/Medical
5685,97,Natural Science/Medical
5686,102,Natural Science/Medical
5687,104,Natural Science/Medical
5688,97,Natural Science/Medical
5689,102,Natural Science/Medical
5690,104,Natural Science/Medical
5691,97,Natural Science/Medical
5692,102,Natural Science/Medical
5693,104,Natural Science/Medical
5694,97,Natural Science/Medical
5695,102,Natural Science/Medical
5696,104,Natural Science/Medical
5697,97,Natural Science/Medical
5698,102,Natural Science/Medical
5699,104,Natural Science/Medical
5700,97,Natural Science/Medical
5701,102,Natural Science/Medical
5702,104,Natural Science/Medical
5703,97,Natural Science/Medical
5704,102,Natural Science/Medical
5705,104,Natural Science/Medical
5706,97,Natural Science/Medical
5707,102,Natural Science/Medical
5708,104,Natural Science/Medical
5709,97,Natural Science/Medical
5710,102,Natural Science/Medical
5711,104,Natural Science/Medical
5712,97,Natural Science/Medical
5713,102,Natural Science/Medical
5714,104,Natural Science/Medical
5715,97,Natural Science/Medical
5716,102,Natural Science/Medical
5717,104,Natural Science/Medical
5718,97,Natural Science/Medical
5719,102,Natural Science/Medical
5720,104,Natural Science/Medical
5721,97,Natural Science/Medical
5722,102,Natural Science/Medical
5723,104,Natural Science/Medical
5724,97,Natural Science/Medical
5725,102,Natural Science/Medical
5726,104,Natural Science/Medical
5727,97,Natural Science/Medical
5728,102,Natural Science/Medical
5729,104,Natural Science/Medical
5730,97,Natural Science/Medical
5731,102,Natural Science/Medical
5732,104,Natural Science/Medical
5733,97,Natural Science/Medical
5734,102,Natural Science/Medical
5735,104,Natural Science/Medical
5736,80,Natural Science/Medical
5737,84,Natural Science/Medical
5738,90,Natural Science/Medical
5739,80,Natural Science/Medical
5740,84,Natural Science/Medical
5741,90,Natural Science/Medical
5742,80,Natural Science/Medical
5743,84,Natural Science/Medical
5744,90,Natural Science/Medical
5745,80,Natural Science/Medical
5746,84,Natural Science/Medical
5747,90,Natural Science/Medical
5748,80,Natural Science/Medical
5749,84,Natural Science/Medical
5750,90,Natural Science/Medical
5751,80,Natural Science/Medical
5752,84,Natural Science/Medical
5753,90,Natural Science/Medical
5754,80,Natural Science/Medical
5755,84,Natural Science/Medical
5756,90,Natural Science/Medical
5757,80,Natural Science/Medical
5758,84,Natural Science/Medical
5759,90,Natural Science/Medical
5760,80,Natural Science/Medical
5761,84,Natural Science/Medical
5762,90,Natural Science/Medical
5763,80,Natural Science/Medical
5764,84,Natural Science/Medical
5765,90,Natural Science/Medical
5766,80,Natural Science/Medical
5767,84,Natural Science/Medical
5768,90,Natural Science/Medical
5769,80,Natural Science/Medical
5770,84,Natural Science/Medical
5771,90,Natural Science/Medical
5772,80,Natural Science/Medical
5773,84,Natural Science/Medical
5774,90,Natural Science/Medical
5775,80,Natural Science/Medical
5776,84,Natural Science/Medical
5777,90,Natural Science/Medical
5778,80,Natural Science/Medical
5779,84,Natural Science/Medical
5780,90,Natural Science/Medical
5781,80,Natural Science/Medical
5782,84,Natural Science/Medical
5783,90,Natural Science/Medical
5784,80,Natural Science/Medical
5785,84,Natural Science/Medical
5786,90,Natural Science/Medical
5787,80,Natural Science/Medical
5788,84,Natural Science/Medical
5789,90,Natural Science/Medical
5790,134,Natural Science/Medical
5791,134,Natural Science/Medical
5792,134,Natural Science/Medical
5793,134,Natural Science/Medical
5794,134,Natural Science/Medical
5795,158,Natural Science/Medical
5796,159,Natural Science/Medical
5797,161,Natural Science/Medical
5798,162,Natural Science/Medical
5799,167,Natural Science/Medical
5800,168,Natural Science/Medical
5801,169,Natural Science/Medical
5802,170,Natural Science/Medical
5803,158,Natural Science/Medical
5804,159,Natural Science/Medical
5805,161,Natural Science/Medical
5806,162,Natural Science/Medical
5807,167,Natural Science/Medical
5808,168,Natural Science/Medical
5809,169,Natural Science/Medical
5810,170,Natural Science/Medical
5811,158,Natural Science/Medical
5812,159,Natural Science/Medical
5813,161,Natural Science/Medical
5814,162,Natural Science/Medical
5815,167,Natural Science/Medical
5816,168,Natural Science/Medical
5817,169,Natural Science/Medical
5818,170,Natural Science/Medical
5819,158,Natural Science/Medical
5820,159,Natural Science/Medical
5821,161,Natural Science/Medical
5822,162,Natural Science/Medical
5823,167,Natural Science/Medical
5824,168,Natural Science/Medical
5825,169,Natural Science/Medical
5826,170,Natural Science/Medical
5827,158,Natural Science/Medical
5828,159,Natural Science/Medical
5829,161,Natural Science/Medical
5830,162,Natural Science/Medical
5831,167,Natural Science/Medical
5832,168,Natural Science/Medical
5833,169,Natural Science/Medical
5834,170,Natural Science/Medical
5835,158,Natural Science/Medical
5836,159,Natural Science/Medical
5837,161,Natural Science/Medical
5838,162,Natural Science/Medical
5839,167,Natural Science/Medical
5840,168,Natural Science/Medical
5841,169,Natural Science/Medical
5842,170,Natural Science/Medical
5843,158,Natural Science/Medical
5844,159,Natural Science/Medical
5845,161,Natural Science/Medical
5846,162,Natural Science/Medical
5847,167,Natural Science/Medical
5848,168,Natural Science/Medical
5849,169,Natural Science/Medical
5850,170,Natural Science/Medical
5851,158,Natural Science/Medical
5852,159,Natural Science/Medical
5853,161,Natural Science/Medical
5854,162,Natural Science/Medical
5855,167,Natural Science/Medical
5856,168,Natural Science/Medical
5857,169,Natural Science/Medical
5858,170,Natural Science/Medical
5859,158,Natural Science/Medical
5860,159,Natural Science/Medical
5861,161,Natural Science/Medical
5862,162,Natural Science/Medical
5863,167,Natural Science/Medical
5864,168,Natural Science/Medical
5865,169,Natural Science/Medical
5866,170,Natural Science/Medical
5867,158,Natural Science/Medical
5868,159,Natural Science/Medical
5869,161,Natural Science/Medical
5870,162,Natural Science/Medical
5871,167,Natural Science/Medical
5872,168,Natural Science/Medical
5873,169,Natural Science/Medical
5874,170,Natural Science/Medical
5875,158,Natural Science/Medical
5876,159,Natural Science/Medical
5877,161,Natural Science/Medical
5878,162,Natural Science/Medical
5879,167,Natural Science/Medical
5880,168,Natural Science/Medical
5881,169,Natural Science/Medical
5882,170,Natural Science/Medical
5883,158,Natural Science/Medical
5884,159,Natural Science/Medical
5885,161,Natural Science/Medical
5886,162,Natural Science/Medical
5887,167,Natural Science/Medical
5888,168,Natural Science/Medical
5889,169,Natural Science/Medical
5890,170,Natural Science/Medical
5891,158,Natural Science/Medical
5892,159,Natural Science/Medical
5893,161,Natural Science/Medical
5894,162,Natural Science/Medical
5895,167,Natural Science/Medical
5896,168,Natural Science/Medical
5897,169,Natural Science/Medical
5898,170,Natural Science/Medical
5899,158,Natural Science/Medical
5900,159,Natural Science/Medical
5901,161,Natural Science/Medical
5902,162,Natural Science/Medical
5903,167,Natural Science/Medical
5904,168,Natural Science/Medical
5905,169,Natural Science/Medical
5906,170,Natural Science/Medical
5907,158,Natural Science/Medical
5908,159,Natural Science/Medical
5909,161,Natural Science/Medical
5910,162,Natural Science/Medical
5911,167,Natural Science/Medical
5912,168,Natural Science/Medical
5913,169,Natural Science/Medical
5914,170,Natural Science/Medical
5915,158,Natural Science/Medical
5916,159,Natural Science/Medical
5917,161,Natural Science/Medical
5918,162,Natural Science/Medical
5919,167,Natural Science/Medical
5920,168,Natural Science/Medical
5921,169,Natural Science/Medical
5922,170,Natural Science/Medical
5923,144,Natural Science/Medical
5924,145,Natural Science/Medical
5925,144,Natural Science/Medical
5926,145,Natural Science/Medical
5927,144,Natural Science/Medical
5928,145,Natural Science/Medical
5929,144,Natural Science/Medical
5930,145,Natural Science/Medical
5931,144,Natural Science/Medical
5932,145,Natural Science/Medical
5933,144,Natural Science/Medical
5934,145,Natural Science/Medical
5935,144,Natural Science/Medical
5936,145,Natural Science/Medical
5937,144,Natural Science/Medical
5938,145,Natural Science/Medical
5939,144,Natural Science/Medical
5940,145,Natural Science/Medical
5941,144,Natural Science/Medical
5942,145,Natural Science/Medical
5943,144,Natural Science/Medical
5944,145,Natural Science/Medical
5945,144,Natural Science/Medical
5946,145,Natural Science/Medical
5947,144,Natural Science/Medical
5948,145,Natural Science/Medical
5949,144,Natural Science/Medical
5950,145,Natural Science/Medical
5951,144,Natural Science/Medical
5952,145,Natural Science/Medical
5953,144,Natural Science/Medical
5954,145,Natural Science/Medical
5955,214,Natural Science/Medical
5956,217,Natural Science/Medical
5957,218,Natural Science/Medical
5958,228,Natural Science/Medical
5959,229,Natural Science/Medical
5960,214,Natural Science/Medical
5961,217,Natural Science/Medical
5962,218,Natural Science/Medical
5963,228,Natural Science/Medical
5964,229,Natural Science/Medical
5965,214,Natural Science/Medical
5966,217,Natural Science/Medical
5967,218,Natural Science/Medical
5968,228,Natural Science/Medical
5969,229,Natural Science/Medical
5970,214,Natural Science/Medical
5971,217,Natural Science/Medical
5972,218,Natural Science/Medical
5973,228,Natural Science/Medical
5974,229,Natural Science/Medical
5975,214,Natural Science/Medical
5976,217,Natural Science/Medical
5977,218,Natural Science/Medical
5978,228,Natural Science/Medical
5979,229,Natural Science/Medical
5980,214,Natural Science/Medical
5981,217,Natural Science/Medical
5982,218,Natural Science/Medical
5983,228,Natural Science/Medical
5984,229,Natural Science/Medical
5985,214,Natural Science/Medical
5986,217,Natural Science/Medical
5987,218,Natural Science/Medical
5988,228,Natural Science/Medical
5989,229,Natural Science/Medical
5990,214,Natural Science/Medical
5991,217,Natural Science/Medical
5992,218,Natural Science/Medical
5993,228,Natural Science/Medical
5994,229,Natural Science/Medical
5995,214,Natural Science/Medical
5996,217,Natural Science/Medical
5997,218,Natural Science/Medical
5998,228,Natural Science/Medical
5999,229,Natural Science/Medical
6000,214,Natural Science/Medical
6001,217,Natural Science/Medical
6002,218,Natural Science/Medical
6003,228,Natural Science/Medical
6004,229,Natural Science/Medical
6005,214,Natural Science/Medical
6006,217,Natural Science/Medical
6007,218,Natural Science/Medical
6008,228,Natural Science/Medical
6009,229,Natural Science/Medical
6010,214,Natural Science/Medical
6011,217,Natural Science/Medical
6012,218,Natural Science/Medical
6013,228,Natural Science/Medical
6014,229,Natural Science/Medical
6015,214,Natural Science/Medical
6016,217,Natural Science/Medical
6017,218,Natural Science/Medical
6018,228,Natural Science/Medical
6019,229,Natural Science/Medical
6020,214,Natural Science/Medical
6021,217,Natural Science/Medical
6022,218,Natural Science/Medical
6023,228,Natural Science/Medical
6024,229,Natural Science/Medical
6025,214,Natural Science/Medical
6026,217,Natural Science/Medical
6027,218,Natural Science/Medical
6028,228,Natural Science/Medical
6029,229,Natural Science/Medical
6030,214,Natural Science/Medical
6031,217,Natural Science/Medical
6032,218,Natural Science/Medical
6033,228,Natural Science/Medical
6034,229,Natural Science/Medical
6035,214,Natural Science/Medical
6036,217,Natural Science/Medical
6037,218,Natural Science/Medical
6038,228,Natural Science/Medical
6039,229,Natural Science/Medical
6040,214,Natural Science/Medical
6041,217,Natural Science/Medical
6042,218,Natural Science/Medical
6043,228,Natural Science/Medical
6044,229,Natural Science/Medical
6045,214,Natural Science/Medical
6046,217,Natural Science/Medical
6047,218,Natural Science/Medical
6048,228,Natural Science/Medical
6049,229,Natural Science/Medical
6050,214,Natural Science/Medical
6051,217,Natural Science/Medical
6052,218,Natural Science/Medical
6053,228,Natural Science/Medical
6054,229,Natural Science/Medical
6055,195,Natural Science/Medical
6056,205,Natural Science/Medical
6057,207,Natural Science/Medical
6058,208,Natural Science/Medical
6059,210,Natural Science/Medical
6060,195,Natural Science/Medical
6061,205,Natural Science/Medical
6062,207,Natural Science/Medical
6063,208,Natural Science/Medical
6064,210,Natural Science/Medical
6065,195,Natural Science/Medical
6066,205,Natural Science/Medical
6067,207,Natural Science/Medical
6068,208,Natural Science/Medical
6069,210,Natural Science/Medical
6070,195,Natural Science/Medical
6071,205,Natural Science/Medical
6072,207,Natural Science/Medical
6073,208,Natural Science/Medical
6074,210,Natural Science/Medical
6075,195,Natural Science/Medical
6076,205,Natural Science/Medical
6077,207,Natural Science/Medical
6078,208,Natural Science/Medical
6079,210,Natural Science/Medical
6080,195,Natural Science/Medical
6081,205,Natural Science/Medical
6082,207,Natural Science/Medical
6083,208,Natural Science/Medical
6084,210,Natural Science/Medical
6085,195,Natural Science/Medical
6086,205,Natural Science/Medical
6087,207,Natural Science/Medical
6088,208,Natural Science/Medical
6089,210,Natural Science/Medical
6090,195,Natural Science/Medical
6091,205,Natural Science/Medical
6092,207,Natural Science/Medical
6093,208,Natural Science/Medical
6094,210,Natural Science/Medical
6095,195,Natural Science/Medical
6096,205,Natural Science/Medical
6097,207,Natural Science/Medical
6098,208,Natural Science/Medical
6099,210,Natural Science/Medical
6100,195,Natural Science/Medical
6101,205,Natural Science/Medical
6102,207,Natural Science/Medical
6103,208,Natural Science/Medical
6104,210,Natural Science/Medical
6105,195,Natural Science/Medical
6106,205,Natural Science/Medical
6107,207,Natural Science/Medical
6108,208,Natural Science/Medical
6109,210,Natural Science/Medical
6110,195,Natural Science/Medical
6111,205,Natural Science/Medical
6112,207,Natural Science/Medical
6113,208,Natural Science/Medical
6114,210,Natural Science/Medical
6115,195,Natural Science/Medical
6116,205,Natural Science/Medical
6117,207,Natural Science/Medical
6118,208,Natural Science/Medical
6119,210,Natural Science/Medical
6120,195,Natural Science/Medical
6121,205,Natural Science/Medical
6122,207,Natural Science/Medical
6123,208,Natural Science/Medical
6124,210,Natural Science/Medical
6125,195,Natural Science/Medical
6126,205,Natural Science/Medical
6127,207,Natural Science/Medical
6128,208,Natural Science/Medical
6129,210,Natural Science/Medical
6130,195,Natural Science/Medical
6131,205,Natural Science/Medical
6132,207,Natural Science/Medical
6133,208,Natural Science/Medical
6134,210,Natural Science/Medical
6135,195,Natural Science/Medical
6136,205,Natural Science/Medical
6137,207,Natural Science/Medical
6138,208,Natural Science/Medical
6139,210,Natural Science/Medical
6140,195,Natural Science/Medical
6141,205,Natural Science/Medical
6142,207,Natural Science/Medical
6143,208,Natural Science/Medical
6144,210,Natural Science/Medical
6145,195,Natural Science/Medical
6146,205,Natural Science/Medical
6147,207,Natural Science/Medical
6148,208,Natural Science/Medical
6149,210,Natural Science/Medical
6150,195,Natural Science/Medical
6151,205,Natural Science/Medical
6152,207,Natural Science/Medical
6153,208,Natural Science/Medical
6154,210,Natural Science/Medical
6155,246,Natural Science/Medical
6156,247,Natural Science/Medical
6157,246,Natural Science/Medical
6158,247,Natural Science/Medical
6159,246,Natural Science/Medical
6160,247,Natural Science/Medical
6161,246,Natural Science/Medical
6162,247,Natural Science/Medical
6163,246,Natural Science/Medical
6164,247,Natural Science/Medical
6165,246,Natural Science/Medical
6166,247,Natural Science/Medical
6167,246,Natural Science/Medical
6168,247,Natural Science/Medical
6169,246,Natural Science/Medical
6170,247,Natural Science/Medical
6171,246,Natural Science/Medical
6172,247,Natural Science/Medical
6173,236,Natural Science/Medical
6174,239,Natural Science/Medical
6175,236,Natural Science/Medical
6176,239,Natural Science/Medical
6177,236,Natural Science/Medical
6178,239,Natural Science/Medical
6179,236,Natural Science/Medical
6180,239,Natural Science/Medical
6181,236,Natural Science/Medical
6182,239,Natural Science/Medical
6183,236,Natural Science/Medical
6184,239,Natural Science/Medical
6185,236,Natural Science/Medical
6186,239,Natural Science/Medical
6187,236,Natural Science/Medical
6188,239,Natural Science/Medical
6189,236,Natural Science/Medical
6190,239,Natural Science/Medical
6191,273,Natural Science/Medical
6192,276,Natural Science/Medical
6193,277,Natural Science/Medical
6194,279,Natural Science/Medical
6195,280,Natural Science/Medical
6196,290,Natural Science/Medical
6197,291,Natural Science/Medical
6198,273,Natural Science/Medical
6199,276,Natural Science/Medical
6200,277,Natural Science/Medical
6201,279,Natural Science/Medical
6202,280,Natural Science/Medical
6203,290,Natural Science/Medical
6204,291,Natural Science/Medical
6205,273,Natural Science/Medical
6206,276,Natural Science/Medical
6207,277,Natural Science/Medical
6208,279,Natural Science/Medical
6209,280,Natural Science/Medical
6210,290,Natural Science/Medical
6211,291,Natural Science/Medical
6212,273,Natural Science/Medical
6213,276,Natural Science/Medical
6214,277,Natural Science/Medical
6215,279,Natural Science/Medical
6216,280,Natural Science/Medical
6217,290,Natural Science/Medical
6218,291,Natural Science/Medical
6219,273,Natural Science/Medical
6220,276,Natural Science/Medical
6221,277,Natural Science/Medical
6222,279,Natural Science/Medical
6223,280,Natural Science/Medical
6224,290,Natural Science/Medical
6225,291,Natural Science/Medical
6226,273,Natural Science/Medical
6227,276,Natural Science/Medical
6228,277,Natural Science/Medical
6229,279,Natural Science/Medical
6230,280,Natural Science/Medical
6231,290,Natural Science/Medical
6232,291,Natural Science/Medical
6233,273,Natural Science/Medical
6234,276,Natural Science/Medical
6235,277,Natural Science/Medical
6236,279,Natural Science/Medical
6237,280,Natural Science/Medical
6238,290,Natural Science/Medical
6239,291,Natural Science/Medical
6240,273,Natural Science/Medical
6241,276,Natural Science/Medical
6242,277,Natural Science/Medical
6243,279,Natural Science/Medical
6244,280,Natural Science/Medical
6245,290,Natural Science/Medical
6246,291,Natural Science/Medical
6247,273,Natural Science/Medical
6248,276,Natural Science/Medical
6249,277,Natural Science/Medical
6250,279,Natural Science/Medical
6251,280,Natural Science/Medical
6252,290,Natural Science/Medical
6253,291,Natural Science/Medical
6254,273,Natural Science/Medical
6255,276,Natural Science/Medical
6256,277,Natural Science/Medical
6257,279,Natural Science/Medical
6258,280,Natural Science/Medical
6259,290,Natural Science/Medical
6260,291,Natural Science/Medical
6261,273,Natural Science/Medical
6262,276,Natural Science/Medical
6263,277,Natural Science/Medical
6264,279,Natural Science/Medical
6265,280,Natural Science/Medical
6266,290,Natural Science/Medical
6267,291,Natural Science/Medical
6268,273,Natural Science/Medical
6269,276,Natural Science/Medical
6270,277,Natural Science/Medical
6271,279,Natural Science/Medical
6272,280,Natural Science/Medical
6273,290,Natural Science/Medical
6274,291,Natural Science/Medical
6275,273,Natural Science/Medical
6276,276,Natural Science/Medical
6277,277,Natural Science/Medical
