iid,gender,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2
104,1,40,10,10,30,10,0,,,,,,
105,1,30,10,20,20,10,10,,,,,,
106,1,15,30,30,10,5,10,,,,,,
107,1,20,15,20,25,5,15,,,,,,
108,1,10,10,40,30,0,10,,,,,,
109,1,20,15,25,15,5,20,,,,,,
110,1,30,10,10,20,10,20,,,,,,
111,1,,,,,,,,,,,,
112,0,20,10,15,20,15,20,,,,,,
113,0,10,20,15,25,5,30,,,,,,
114,0,20,20,20,20,10,10,,,,,,
115,0,20,5,30,20,10,15,,,,,,
116,0,30,10,10,30,10,10,,,,,,
117,0,25,10,25,15,10,15,,,,,,
119,0,50,10,10,10,5,15,,,,,,
120,0,20,10,40,20,5,5,,,,,,
121,0,50,20,0,20,10,0,,,,,,
122,1,50,10,10,10,10,10,,,,,,
123,1,80,4,5,3,4,4,,,,,,
124,1,50,10,10,10,10,10,,,,,,
125,1,20,10,25,15,10,20,,,,,,
126,1,20,20,20,30,0,10,,,,,,
127,1,40,10,10,20,0,20,,,,,,
128,1,30,15,15,20,10,10,,,,,,
129,1,30,5,20,30,5,10,,,,,,
130,1,60,5,20,5,5,5,,,,,,
131,1,,,,,,,,,,,,
132,0,15.79,17.54,15.79,17.54,17.54,15.79,18.87,15.09,13.21,18.87,15.09,18.87
133,0,15.22,17.39,17.39,17.39,15.22,17.39,17.78,15.56,15.56,17.78,15.56,17.78
134,0,10,18,18,18,18,18,22.5,17.5,12.5,20,12.5,15
135,0,17.78,22.22,20,13.33,13.33,13.33,19.57,15.22,15.22,19.57,15.22,15.22
136,0,,,,,,,,,,,,
137,1,,,,,,,,,,,,
138,1,19.57,17.39,19.57,19.57,13.04,10.87,17.31,17.31,17.31,17.31,17.31,13.46
139,1,21.43,21.43,14.29,21.43,9.52,11.9,19.61,19.61,17.65,17.65,11.76,13.73
140,1,20.51,15.38,17.95,17.95,12.82,15.38,16.67,16.67,16.67,16.67,16.67,16.67
141,1,19.15,19.15,17.02,17.02,10.64,17.02,16.33,18.37,18.37,18.37,14.29,14.29
142,0,14.29,18.37,20.41,20.41,14.29,12.24,19.15,17.02,14.89,19.15,14.89,14.89
143,0,13.73,17.65,17.65,15.69,17.65,17.65,16.67,16.67,16.67,18.52,14.81,16.67
144,0,16.67,16.67,16.67,18.75,16.67,14.58,20.93,16.28,16.28,18.6,13.95,13.95
145,0,15.69,17.65,19.61,15.69,15.69,15.69,20.41,14.29,16.33,18.37,14.29,16.33
146,0,,,,,,,,,,,,
147,0,18.75,16.67,18.75,16.67,16.67,12.5,23.26,13.95,13.95,20.93,13.95,13.95
148,0,,,,,,,,,,,,
149,0,16.22,13.51,18.92,18.92,16.22,16.22,18.42,13.16,18.42,18.42,13.16,18.42
150,0,14,18,18,18,16,16,23.81,11.9,14.29,16.67,16.67,16.67
151,0,15.38,17.31,17.31,17.31,15.38,17.31,22.22,15.56,15.56,17.78,15.56,13.33
152,0,16.67,18.75,18.75,14.58,16.67,14.58,23.26,13.95,16.28,20.93,11.63,13.95
153,0,13.95,16.28,18.6,16.28,18.6,16.28,20.51,17.95,15.38,15.38,15.38,15.38
154,0,,,,,,,,,,,,
155,0,16.67,18.75,18.75,14.58,16.67,14.58,20.93,16.28,13.95,20.93,9.3,18.6
156,0,14.29,16.33,18.37,18.37,18.37,14.29,20.41,14.29,14.29,18.37,14.29,18.37
157,0,14.58,16.67,16.67,18.75,18.75,14.58,21.95,14.63,14.63,17.07,14.63,17.07
158,1,17.78,20,20,17.78,11.11,13.33,15.22,19.57,19.57,17.39,10.87,17.39
159,1,16.67,18.75,18.75,16.67,14.58,14.58,15.38,19.23,17.31,15.38,17.31,15.38
160,1,17.31,19.23,17.31,15.38,15.38,15.38,13.46,19.23,17.31,15.38,19.23,15.38
161,1,16,18,18,20,12,16,14.55,18.18,16.36,18.18,16.36,16.36
162,1,15.22,15.22,19.57,17.39,13.04,19.57,15.91,15.91,20.45,15.91,18.18,13.64
163,1,14.89,17.02,19.15,19.15,14.89,14.89,16.67,16.67,16.67,16.67,16.67,16.67
164,1,19.51,21.95,21.95,17.07,7.32,12.2,16.67,16.67,16.67,16.67,16.67,16.67
165,1,19.51,19.51,21.95,14.63,7.32,17.07,13.95,18.6,16.28,16.28,18.6,16.28
166,1,25,20,20,25,5,5,19.15,19.15,14.89,14.89,21.28,10.64
167,1,19.05,14.29,19.05,16.67,16.67,14.29,13.64,18.18,20.45,15.91,13.64,18.18
168,1,,,,,,,,,,,,
169,1,18.75,18.75,16.67,16.67,14.58,14.58,18.75,18.75,16.67,16.67,14.58,14.58
170,1,19.51,21.95,17.07,14.63,12.2,14.63,17.5,20,12.5,17.5,12.5,20
171,1,20.41,12.24,16.33,18.37,14.29,18.37,15.38,15.38,17.31,17.31,19.23,15.38
172,1,21.43,16.67,23.81,19.05,11.9,7.14,20.45,13.64,18.18,18.18,15.91,13.64
173,1,17.78,17.78,17.78,20,15.56,11.11,12.77,19.15,17.02,19.15,17.02,14.89
174,0,11.9,23.81,16.67,16.67,16.67,14.29,18.18,18.18,15.91,15.91,15.91,15.91
175,0,14.29,16.33,16.33,16.33,18.37,18.37,20.93,13.95,13.95,20.93,13.95,16.28
176,0,15.91,20.45,18.18,15.91,13.64,15.91,19.57,17.39,15.22,17.39,13.04,17.39
177,0,16.98,16.98,16.98,15.09,18.87,15.09,24.32,18.92,13.51,16.22,10.81,16.22
178,0,17.02,17.02,17.02,17.02,14.89,17.02,27.03,13.51,13.51,18.92,8.11,18.92
179,0,18.75,18.75,18.75,16.67,14.58,12.5,21.28,12.77,12.77,21.28,12.77,19.15
180,0,17.02,19.15,17.02,21.28,12.77,12.77,21.95,14.63,14.63,24.39,12.2,12.2
181,0,15.69,19.61,17.65,15.69,17.65,13.73,22.73,11.36,11.36,22.73,18.18,13.64
182,0,14.29,16.33,18.37,18.37,18.37,14.29,20,15.56,15.56,17.78,15.56,15.56
183,0,14.89,17.02,17.02,17.02,17.02,17.02,16.67,16.67,16.67,16.67,16.67,16.67
184,1,20,17.78,20,17.78,11.11,13.33,16.67,16.67,16.67,16.67,16.67,16.67
185,1,14,16,18,18,18,16,17.54,17.54,15.79,17.54,17.54,14.04
186,1,16.67,22.22,25,11.11,11.11,13.89,13.16,10.53,21.05,21.05,18.42,15.79
187,1,16.98,16.98,18.87,16.98,13.21,16.98,18.75,18.75,14.58,18.75,12.5,16.67
188,1,14.58,14.58,20.83,14.58,18.75,16.67,14.29,16.33,18.37,16.33,20.41,14.29
189,1,16.36,16.36,16.36,16.36,16.36,18.18,16.67,16.67,16.67,16.67,16.67,16.67
190,1,18.6,16.28,13.95,23.26,13.95,13.95,14.89,19.15,19.15,17.02,19.15,10.64
191,1,21.43,19.05,19.05,19.05,16.67,4.76,13.04,17.39,17.39,15.22,19.57,17.39
192,1,,,,,,,,,,,,
193,1,20.93,18.6,18.6,13.95,13.95,13.95,20.93,11.63,13.95,20.93,20.93,11.63
194,0,18.18,18.18,18.18,14.55,18.18,12.73,18.87,13.21,15.09,18.87,15.09,18.87
195,0,16,12,20,18,16,18,20.83,12.5,18.75,18.75,12.5,16.67
196,0,17.39,17.39,17.39,15.22,15.22,17.39,21.62,16.22,16.22,18.92,13.51,13.51
197,0,18.37,14.29,20.41,20.41,14.29,12.24,23.26,16.28,16.28,16.28,13.95,13.95
198,0,,,,,,,,,,,,
199,0,25,11.11,25,11.11,22.22,5.56,38.46,7.69,30.77,7.69,7.69,7.69
200,0,15.38,19.23,17.31,15.38,17.31,15.38,18.18,15.91,15.91,18.18,15.91,15.91
201,0,16.67,16.67,16.67,16.67,16.67,16.67,20.51,20.51,15.38,15.38,12.82,15.38
202,0,15.69,19.61,19.61,15.69,15.69,13.73,20.45,18.18,13.64,18.18,13.64,15.91
203,0,16,18,20,20,20,6,20.45,18.18,13.64,18.18,15.91,13.64
204,0,17.86,16.07,17.86,16.07,16.07,16.07,21.74,19.57,15.22,21.74,4.35,17.39
205,0,18.75,14.58,20.83,18.75,12.5,14.58,19.15,14.89,14.89,17.02,14.89,19.15
206,0,,,,,,,,,,,,
207,0,16.67,14.81,16.67,18.52,18.52,14.81,18.87,13.21,16.98,18.87,15.09,16.98
208,0,12.5,17.86,17.86,17.86,17.86,16.07,20,18,16,16,14,16
209,0,,,,,,,,,,,,
210,0,20,15.56,17.78,17.78,11.11,17.78,27.03,13.51,13.51,21.62,8.11,16.22
211,0,14.81,14.81,18.52,18.52,16.67,16.67,18,16,16,18,16,16
212,0,14.89,19.15,19.15,14.89,17.02,14.89,20.51,15.38,15.38,20.51,15.38,12.82
213,0,16.36,18.18,18.18,16.36,16.36,14.55,19.61,15.69,15.69,17.65,15.69,15.69
214,1,17.02,21.28,19.15,19.15,14.89,8.51,16.33,20.41,16.33,16.33,18.37,12.24
215,1,17.39,15.22,19.57,19.57,15.22,13.04,12.77,17.02,19.15,19.15,14.89,17.02
216,1,14.81,18.52,18.52,18.52,16.67,12.96,18.18,18.18,12.73,16.36,16.36,18.18
217,1,26.32,21.05,21.05,21.05,2.63,7.89,11.54,19.23,19.23,17.31,19.23,13.46
218,1,20,5,22.5,12.5,20,20,17.95,17.95,17.95,20.51,12.82,12.82
219,1,19.51,12.2,17.07,19.51,14.63,17.07,18.42,13.16,15.79,21.05,15.79,15.79
220,1,17.86,17.86,17.86,17.86,14.29,14.29,16.95,16.95,16.95,16.95,16.95,15.25
221,1,15.56,17.78,17.78,17.78,17.78,13.33,14.29,16.33,18.37,18.37,16.33,16.33
222,1,15,20,22.5,17.5,2.5,22.5,18.37,16.33,12.24,20.41,16.33,16.33
223,1,19.05,16.67,19.05,19.05,9.52,16.67,21.62,13.51,10.81,21.62,18.92,13.51
224,1,,,,,,,,,,,,
225,1,16.33,18.37,16.33,18.37,16.33,14.29,18.75,16.67,18.75,16.67,14.58,14.58
226,1,25,15,17.5,20,12.5,10,19.51,19.51,19.51,12.2,17.07,12.2
227,1,19.61,17.65,17.65,15.69,15.69,13.73,18,18,16,16,16,16
228,1,15.63,15.63,21.88,12.5,12.5,21.88,18.92,10.81,18.92,18.92,13.51,18.92
229,1,22.73,15.91,22.73,15.91,11.36,11.36,17.78,11.11,17.78,20,22.22,11.11
230,1,23.08,20.51,20.51,15.38,7.69,12.82,18.6,16.28,13.95,18.6,18.6,13.95
231,1,18.42,21.05,21.05,18.42,10.53,10.53,15.56,15.56,17.78,17.78,17.78,15.56
232,1,16,20,16,20,14,14,17.02,19.15,17.02,17.02,17.02,12.77
233,1,13.33,22.22,15.56,17.78,15.56,15.56,15.91,18.18,15.91,18.18,15.91,15.91
234,0,20,15,20,20,15,10,50,5,5,20,10,10
235,0,15,20,20,20,15,10,25,10,10,25,10,20
236,0,20,15,20,25,10,10,25,10,15,20,15,15
237,0,10,20,25,15,20,10,30,10,10,20,10,20
238,0,20,20,20,15,10,15,30,10,20,20,10,10
239,0,10,20,20,20,10,20,25,20,15,20,10,10
240,0,10,30,30,10,10,10,40,5,10,25,10,10
241,0,75,5,5,5,5,5,75,5,5,5,5,5
242,0,25,20,25,18,2,10,30,10,20,25,5,10
243,1,20,20,20,25,5,10,20,20,15,20,15,10
244,1,20,20,20,15,10,15,30,20,10,15,15,10
245,1,18,12,25,15,13,17,19,16,17,13,22,13
246,1,40,10,10,20,0,0,25,15,5,25,20,0
247,1,25,30,5,15,0,25,25,10,10,25,10,20
248,1,20,10,10,20,15,15,20,10,20,20,20,10
249,1,19,19,17,19,10,16,14,18,18,16,19,15
250,1,20,20,20,20,10,10,20,20,20,20,10,10
251,1,20,20,20,20,15,5,15,25,25,15,15,5
252,0,10,20,20,20,20,10,40,10,10,10,10,20
253,0,20,20,10,20,10,20,30,10,10,20,10,20
254,0,,,,,,,,,,,,
255,0,20,20,20,20,20,20,50,10,10,10,10,10
256,0,20,20,20,20,10,10,35,10,15,20,5,15
257,0,30,10,30,10,10,10,40,5,20,20,5,10
258,0,13,29,12,18,8,20,40,2,12,18,5,23
259,0,17,18,19,18,16,12,18,18,15,18,14,17
260,0,19,17,19,15,15,15,19,17,19,15,15,15
261,0,30,20,20,15,10,5,50,10,10,15,5,10
262,0,10,30,10,10,10,30,30,10,10,20,10,20
263,0,20,20,20,20,10,10,36.36,18.18,9.09,18.18,4.55,13.64
264,0,15,20,25,20,10,25,21.74,13.04,17.39,17.39,13.04,17.39
265,0,50,1,19,1,9,10,60,2,10,10,3,15
266,0,30,20,15,20,0,15,45,15,10,10,10,10
267,0,40,30,7,8,7,8,50,15,7,11,7,10
268,0,30,15,15,15,10,15,38.1,9.52,14.29,19.05,4.76,14.29
269,0,20,10,40,10,10,10,25,10,20,25,10,10
270,0,16,16,19,16,15,18,18,15,17,18,15,17
271,0,15,10,40,15,10,10,40,10,15,15,10,10
272,0,30,20,20,20,5,5,30,20,10,30,5,5
273,1,30,25,18,18,4,5,17,19,22,17,15,10
274,1,30,10,20,20,10,10,10,10,30,20,20,10
275,1,20,10,20,10,20,20,15,15,20,15,15,20
276,1,25,15,20,20,5,15,25,15,15,20,20,5
277,1,60,10,0,20,0,10,50,0,0,0,50,0
278,1,25,20,20,25,5,5,20,25,20,25,5,5
279,1,25,19,30,15,6,10,25,20,15,10,20,10
280,1,,,,,,,,,,,,
281,1,15,20,20,15,10,20,15,20,15,20,15,15
282,1,35,15,10,20,10,10,35,15,10,20,10,10
283,1,30,10,30,10,10,10,30,10,30,10,10,10
284,1,25,15,20,20,20,0,20,10,15,25,10,20
285,1,30,10,20,20,10,10,30,10,20,20,10,10
286,1,10,15,20,15,15,25,15,15,20,15,15,20
287,1,25,10,10,25,5,25,25,10,15,25,5,20
288,1,30,20,15,30,5,0,33.33,11.11,5.56,33.33,16.67,0
289,1,20,30,15,20,5,10,40,20,20,5,10,5
290,1,30,10,30,10,5,15,20,5,20,25,25,5
291,1,25,15,15,15,15,15,20,20,20,15,15,10
292,1,25,10,20,20,10,15,15,20,20,20,10,15
293,1,24,15,18,18,10,15,15,20,20,15,15,15
294,0,15,20,25,20,10,10,27.78,11.11,11.11,22.22,11.11,16.67
295,0,14,20,18,20,13,15,15,20,18,22,10,15
296,0,20,25,35,5,5,10,35,5,10,20,15,15
297,0,30,30,15,15,15,15,40,10,10,20,10,10
298,0,15,25,25,5,5,25,35,10,10,20,10,15
299,0,15,20,15,20,15,15,20,15,20,20,10,15
300,0,15,15,25,15,15,15,30,15,10,15,15,15
301,0,17,15,18,25,10,15,25,15,10,20,10,20
302,0,50,5,20,10,10,5,50,10,5,5,10,20
303,0,40,15,15,15,10,5,50,10,10,15,5,10
304,0,10,20,20,20,10,10,20,15,15,20,15,15
305,0,9,30,19,19,3,20,30,20,5,25,2,18
306,0,20,22,18,15,15,10,25,20,15,15,10,15
307,0,10,20,20,15,20,15,20,20,17,15,13,15
308,1,17,20,18,17,11,17,21,17,16,18,14,14
309,1,30,10,20,20,5,15,30,10,10,20,20,10
310,1,,,,,,,,,,,,
311,1,50,20,5,10,5,10,20,10,25,10,20,15
312,1,30,10,20,15,10,15,35,15,15,10,10,15
313,1,25,15,20,20,5,15,20,15,20,15,15,15
314,1,20,15,25,20,10,10,15,20,10,25,15,15
315,1,,,,,,,,,,,,
316,1,25,20,15,25,10,5,25,10,20,25,15,5
317,1,40,0,20,20,0,20,20,10,20,20,10,20
318,1,,,,,,,,,,,,
319,1,30,20,15,20,5,10,30,10,5,25,20,10
320,1,25,20,20,10,10,15,15,25,15,15,25,5
321,1,,,,,,,,,,,,
322,0,,,,,,,,,,,,
323,0,20,20,20,20,10,10,40,10,10,20,10,10
324,0,85,3,2,5,3,2,85,3,2,5,3,2
325,0,10,20,20,10,10,30,30,10,10,20,10,20
326,0,20,10,20,20,20,10,50,5,10,20,5,10
327,0,15,10,25,10,20,20,50,10,5,15,5,15
328,0,30,15,30,15,5,5,40,10,20,10,10,10
329,0,10,22,22,16,16,14,30,10,10,25,10,15
330,0,20,20,15,20,10,15,50,5,10,20,5,10
331,0,,,,,,,,,,,,
332,1,50,5,5,30,10,0,40,5,10,30,10,5
333,1,35,5,20,20,10,10,25,15,10,20,10,20
334,1,40,10,10,15,10,15,20,10,10,20,10,30
335,1,20,10,20,20,15,15,20,15,20,20,15,10
336,1,25,20,25,10,10,10,25,20,25,10,10,10
337,1,17,17,16,17,16,17,16,17,17,17,17,16
338,1,15,20,20,15,20,10,15,20,20,20,15,10
339,1,25,15,15,20,10,15,20,15,15,20,20,10
340,1,40,10,20,20,10,0,40,0,10,20,30,0
341,0,30,20,10,10,20,10,50,10,10,10,10,10
342,0,60,10,10,10,10,0,65,5,5,25,0,0
343,0,25,10,15,20,10,20,35,5,10,30,5,15
344,0,15,15,20,20,20,10,20,15,15,20,15,15
345,0,15,15,25,30,10,5,45,2,13,25,3,12
346,0,35,15,15,10,10,15,50,10,5,20,5,10
347,0,,,,,,,,,,,,
348,0,10,20,20,10,20,20,10,20,20,10,20,20
349,0,27,15,15,23,10,10,30,15,15,25,5,10
350,0,,,,,,,,,,,,
351,0,15,20,20,15,15,15,30,10,10,30,10,10
352,0,20,20,10,15,10,15,20,20,15,15,15,15
353,0,,,,,,,,,,,,
354,0,15,15,15,20,15,20,25,15,10,20,15,15
355,0,50,10,20,10,10,0,60,5,5,20,10,0
356,0,20,25,20,10,5,20,60,0,15,15,0,10
357,0,20,10,30,20,15,15,30,10,10,30,0,20
358,0,,,,,,,,,,,,
359,0,12,18,25,13,7,25,25,10,10,25,12,18
360,0,20,30,15,10,10,15,40,5,10,20,5,20
361,1,20,10,30,10,10,20,30,20,10,10,10,20
362,1,20,15,21,21,13,13,26.32,5.26,21.05,26.32,10.53,10.53
363,1,35,20,15,20,5,5,30,30,10,20,5,5
364,1,25,25,15,25,5,5,20,20,20,20,10,10
365,1,30,10,15,15,10,20,25,20,15,15,10,15
366,1,14,18,17,16,15,20,13,20,14,20,13,20
367,1,25,15,17,23,5,10,20,25,20,10,10,15
368,1,30,10,20,20,0,20,25,8.33,8.33,16.67,16.67,25
369,1,22,15,20,22,11,10,30,10,10,20,10,20
370,1,50,5,15,10,15,5,40,10,10,10,20,10
371,1,50,2,2,40,2,4,40,10,4,2,40,4
372,1,40,15,15,15,5,10,40,10,10,10,20,10
373,1,85,1,1,10,1,1,75,2,7,10,3,3
374,1,60,10,5,10,10,5,50,10,10,10,10,10
375,1,35,12,10,20,5,18,25,15,15,15,20,10
376,1,,,,,,,,,,,,
377,1,20,20,20,30,20,10,16.67,16.67,16.67,16.67,16.67,16.67
378,1,40,5,20,20,5,10,27.27,9.09,18.18,18.18,18.18,9.09
379,0,,,,,,,,,,,,
380,0,,,,,,,,,,,,
381,0,20,20,20,30,5,5,30,10,10,20,5,25
382,0,20,20,20,20,10,10,60,5,5,10,10,10
383,0,25,15,20,15,15,10,60,5,5,20,5,5
384,0,20,20,20,20,10,10,40,10,10,20,10,10
385,0,,,,,,,,,,,,
386,0,15,20,20,15,15,15,15,20,20,15,15,15
387,0,25,10,15,20,15,15,25,15,20,15,15,10
388,0,20,16,16,16,16,16,25,15,15,15,15,15
389,0,10,50,15,15,0,10,40,0,10,30,0,20
390,0,,,,,,,,,,,,
391,0,60,0,30,10,0,0,70,0,0,30,0,0
392,0,15,20,15,20,10,20,25,10,10,25,10,20
393,0,12,20,20,20,8,20,25,15,20,15,10,15
394,0,20,20,20,10,10,20,25,20,10,15,10,20
395,0,30,15,20,15,10,10,50,5,5,20,5,15
396,0,16,18,18,16,14,18,18,15,16,18,15,18
397,1,19,20,20,20,10,11,17,19,19,19,17,11
398,1,50,5,10,25,0,10,30,15,15,20,10,10
399,1,,,,,,,,,,,,
400,1,,,,,,,,,,,,
401,1,50,0,25,20,0,5,20,20,20,20,0,20
402,1,15,25,20,15,15,10,30,20,10,20,5,15
403,1,20,20,15,25,15,5,25,20,15,20,10,10
404,1,27,10,25,25,6,7,30,20,20,20,10,10
405,1,50,10,10,10,10,10,50,10,10,10,10,10
406,1,20,20,20,20,10,10,20,20,25,25,15,0
407,1,40,10,20,10,10,10,50,10,10,10,10,10
408,1,20,20,20,20,10,10,20,20,15,15,15,15
409,1,20,20,15,20,5,20,10,20,20,20,10,20
410,1,,,,,,,,,,,,
411,1,50,0,25,25,0,0,70,20,0,10,0,0
412,1,75,5,5,5,5,5,75,1,2,20,1,1
413,1,30,10,20,20,10,10,30,10,20,25,5,10
414,1,,,,,,,,,,,,
415,1,20,10,20,10,20,20,20,10,20,10,20,20
416,0,20,10,20,15,10,25,30,10,15,20,10,15
417,0,20,15,15,10,10,30,20,15,10,15,10,30
418,0,15,25,20,15,10,15,25,20,10,20,10,15
419,0,,,,,,,,,,,,
420,0,10,15,40,10,10,15,30,10,15,25,10,10
421,0,20,15,30,15,15,5,30,20,10,20,10,10
422,1,30,25,15,10,15,5,30,20,15,10,15,10
423,1,30,10,20,20,10,10,20,10,30,10,20,10
424,1,,,,,,,,,,,,
425,1,,,,,,,,,,,,
426,1,,,,,,,,,,,,
427,1,,,,,,,,,,,,
428,1,50,10,10,10,10,10,40,12,12,12,12,12
429,1,50,10,10,10,10,10,35,15,15,15,15,5
430,0,10,25,15,20,10,20,25,25,10,25,10,5
431,0,15,15,25,15,15,15,50,10,10,10,10,10
432,0,30,20,20,30,0,0,40,0,25,25,10,0
433,0,20,20,20,25,5,10,25,5,20,25,5,20
434,0,40,10,20,15,5,10,40,5,10,20,0,25
435,0,30,10,20,20,10,10,40,2,3,30,3,2
436,0,60,5,10,15,5,5,55,5,5,25,5,5
437,0,12,13,25,12,13,25,35,10,15,10,10,20
438,0,15,15,20,15,15,20,20,15,10,20,15,20
439,0,,,,,,,,,,,,
440,1,80,0,10,10,0,0,80,0,10,10,0,0
441,1,60,5,20,10,0,5,30,20,20,10,10,10
442,1,50,20,0,30,0,0,0,0,30,40,30,0
443,1,30,15,15,20,10,10,40,20,10,10,10,10
444,1,40,30,10,20,0,0,30,20,10,40,10,0
445,1,50,10,10,10,15,5,35,20,10,15,15,5
446,1,,,,,,,,,,,,
447,1,25,30,20,15,0,10,25,20,20,20,5,10
448,1,30,10,25,20,5,10,15,15,20,20,20,10
449,1,50,8,8,33,0,1,30,10,12,30,10,8
450,1,50,10,10,10,5,15,40,10,10,10,10,20
451,1,25,30,20,10,10,5,20,30,10,20,10,10
452,1,35,30,25,5,0,5,35,30,25,5,0,5
453,1,,,,,,,,,,,,
454,0,15,20,20,20,10,15,20,10,10,20,20,20
455,0,10,20,15,20,20,15,20,15,15,20,15,15
456,0,30,20,20,10,10,10,30,20,10,20,10,10
457,0,20,0,20,20,20,20,30,15,10,30,0,15
458,0,40,20,15,15,15,15,70,0,20,10,0,0
459,0,,,,,,,,,,,,
460,1,,,,,,,,,,,,
461,1,40,20,10,20,0,10,50,20,10,10,10,0
462,1,30,20,15,15,0,20,30,30,10,10,10,10
463,1,15,15,15,15,15,25,15,15,15,15,15,25
