iid,field_cd
341,Social Science
342,Social Science
343,Natural Science/Medical
344,Social Science
345,Natural Science/Medical
347,Social Science
348,Social Science
349,Social Science
350,Natural Science/Medical
351,Social Science
352,Social Science
353,Social Science
354,Social Science
355,Social Science
356,Social Science
357,Social Science
358,Business/Finance
359,Liberal Arts
360,Social Science
361,Law
362,Law
363,Engineering
364,Business/Finance
365,Business/Finance
366,Business/Finance
367,Social Science
368,Social Science
369,Social Science
370,Business/Finance
371,Business/Finance
372,Business/Finance
373,Business/Finance
374,Business/Finance
375,Business/Finance
376,Business/Finance
377,Business/Finance
378,Business/Finance
379,Business/Finance
380,Arts
381,Arts
382,Arts
383,Social Science
384,Social Science
385,Social Science
386,Social Science
387,Social Science
388,Social Science
389,Law
390,Social Science
391,Liberal Arts
392,Liberal Arts
393,Liberal Arts
394,Liberal Arts
395,Liberal Arts
396,Arts
397,Law
398,Business/Finance
399,Business/Finance
400,Business/Finance
401,Business/Finance
402,Natural Science/Medical
403,Engineering
404,Engineering
405,Social Science
406,Business/Finance
407,Arts
408,Social Science
409,Engineering
410,Business/Finance
411,Business/Finance
412,Business/Finance
413,Business/Finance
414,Business/Finance
415,Business/Finance
416,Social Science
417,Social Science
418,Law
419,Social Science
420,Social Science
421,Social Science
422,Business/Finance
423,Business/Finance
424,Engineering
425,Business/Finance
426,Business/Finance
427,Social Science
428,Business/Finance
429,Business/Finance
430,Social Science
431,Social Science
432,Social Science
433,Arts
434,Social Science
435,Law
436,Law
437,Social Science
438,Social Science
439,Social Science
440,Law
441,Law
442,Law
443,Social Science
444,Business/Finance
445,Social Science
446,Business/Finance
447,Social Science
448,Law
449,Law
450,Social Science
451,Business/Finance
452,Business/Finance
453,Law
454,Arts
455,Natural Science/Medical
456,Business/Finance
457,Liberal Arts
458,Business/Finance
459,Business/Finance
460,Liberal Arts
461,Engineering
462,Engineering
463,Natural Science/Medical
464,Business/Finance
465,Liberal Arts
466,Arts
467,Business/Finance
468,Social Science
469,Social Science
470,Natural Science/Medical
471,Natural Science/Medical
472,Engineering
473,Natural Science/Medical
474,Natural Science/Medical
475,Social Science
476,Social Science
477,Engineering
478,Social Science
479,Social Science
480,Engineering
481,Social Science
482,Business/Finance
483,Social Science
484,Arts
485,Social Science
486,Natural Science/Medical
487,Liberal Arts
488,Business/Finance
489,Business/Finance
490,Arts
491,Business/Finance
492,Natural Science/Medical
493,Social Science
494,Liberal Arts
495,Arts
496,Engineering
497,Natural Science/Medical
498,Natural Science/Medical
499,Natural Science/Medical
500,Natural Science/Medical
501,Natural Science/Medical
502,Engineering
503,Natural Science/Medical
504,Engineering
505,Liberal Arts
506,Natural Science/Medical
507,Natural Science/Medical
508,Natural Science/Medical
509,Liberal Arts
510,Business/Finance
511,Engineering
512,Arts
513,Arts
514,Social Science
515,Liberal Arts
516,Natural Science/Medical
517,Arts
518,Arts
519,Social Science
520,Social Science
521,Social Science
522,Law
523,Social Science
524,Natural Science/Medical
525,Arts
526,Social Science
527,Social Science
528,Social Science
529,Engineering
530,Engineering
531,Engineering
532,Engineering
533,Engineering
534,Engineering
535,Natural Science/Medical
536,Natural Science/Medical
537,Engineering
538,Engineering
539,Law
540,Engineering
541,Engineering
542,Engineering
543,Engineering
544,Engineering
545,Engineering
546,Business/Finance
547,Business/Finance
548,Business/Finance
549,Business/Finance
550,Business/Finance
551,Business/Finance
552,Arts
