iid,gender,age,field_cd,race,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
21,0,21,5,4,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,0,5,9,7,9,10
22,0,27,9,1,6,2,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,2,7,8,7,8,7
23,0,21,3,4,1,1,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,3,5,8,6,7,8
24,0,27,11,2,6,4,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,3,7,9,9,8,8
25,0,25,11,2,5,2,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,4,7,9,7,8,6
26,0,23,11,2,5,2,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,10,7,8,8,8,8
27,0,22,3,3,6,2,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,4,6,6,7,7,7
28,0,26,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,22,11,2,6,1,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,4,6,9,8,7,8
30,0,23,1,2,7,2,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,2,7,8,9,8,8
31,0,24,1,2,4,3,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,4,8,8,9,8,9
32,0,27,3,4,4,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,0,7,5,9,9,7
33,0,30,3,2,6,1,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,0,6,8,6,8,8
34,0,21,8,4,6,2,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,5,7,7,7,7,8
35,0,25,2,2,6,3,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,8,8,9,9,9,7
36,0,26,2,2,5,2,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,8,8,7,8,8,6
37,0,27,3,2,6,2,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,3,7,8,7,9,5
38,0,23,1,1,4,3,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,12,8,2,7,8,8
39,0,24,1,3,6,4,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,5,6,9,6,8,7
40,1,25,,4,7,7,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2,2,3,10,8,9,5
41,1,30,1,4,6,5,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1,3,5,7,5,8,5
42,1,23,5,4,7,4,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,3,6,9,6,8,4
43,1,24,8,2,6,3,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,1,3,8,3,7,2
44,1,24,3,2,3,1,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,5,7,9,8,9,9
45,1,28,8,2,6,3,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,7,7,8,6,8,7
46,1,26,8,2,6,2,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,8,7,8,5,7,7
47,1,30,8,2,6,1,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,6,8,7,9,9,3
48,1,22,12,2,5,2,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,5,7,9,6,7,6
49,1,25,8,4,3,2,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,4,7,10,10,10,8
50,1,27,1,1,6,2,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,7,8,9,9,10,8
51,1,23,1,2,5,3,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,2,6,8,2,10,2
52,1,21,1,2,4,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,1,5,8,6,8,7
53,1,28,4,2,6,2,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,9,8,9,8,8,8
54,1,28,8,2,5,1,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,5,8,9,8,8,8
55,1,23,1,1,4,2,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,5,6,10,10,9,10
56,0,23,11,2,3,1,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,15,10,10,9,8,5
57,0,22,11,2,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,12,6,10,10,9,10
58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,29,3,6,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,10,7,9,9,9,9
61,0,28,7,2,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,7,10,7,10,7
62,0,26,1,3,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,1,9,9,9,9,9
63,0,24,1,4,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,2,6,8,9,8,7
64,0,27,11,4,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,2,8,8,6,9,9
65,0,23,11,6,5,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,10,7,9,9,8,9
66,1,29,8,3,6,4,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,3,6,7,7,8,8
67,1,22,1,6,5,2,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,1,5,7,6,7,7
68,1,27,6,1,4,3,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,2,6,8,7,8,8
69,1,28,8,2,6,1,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,0,5,9,5,8,8
70,1,26,8,2,2,1,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,2,8,6,8,9,6
71,1,21,1,2,6,2,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,5,6,8,8,10,10
72,1,22,5,2,6,1,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,9,7,9,8,8,8
73,1,22,8,2,4,2,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,4,7,7,8,7,8
74,1,25,5,2,7,2,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,2,7,9,9,8,7
75,1,24,1,6,5,3,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,1,7,7,8,8,8
76,0,34,6,2,7,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,4,6,6,6,8,4
77,0,22,11,2,4,2,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,4,6,8,8,8,8
78,0,23,11,3,7,3,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,0,3,10,3,8,8
79,0,26,5,4,7,1,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3,3,7,9,8,7,7
80,0,27,10,4,5,4,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,10,8,8,8,8,8
81,0,28,6,2,5,2,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,6,8,7,8,7,7
82,0,25,9,6,3,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7,2,8,9,8,8,7
83,0,35,8,3,6,1,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,3,5,9,9,5,5
84,0,32,10,3,4,1,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5,5,7,9,7,8,5
85,0,30,11,2,6,4,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3,4,7,9,9,8,9
86,0,22,3,2,7,1,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,10,7,9,9,9,4
87,0,23,11,2,3,2,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,10,9,9,9,9,9
88,0,23,11,2,4,4,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3,10,9,9,9,9,9
89,0,27,8,2,7,3,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2,6,8,9,8,9,10
90,0,23,10,4,7,7,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,0,5,8,5,7,5
91,0,25,1,6,3,2,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,3,6,7,7,9,8
92,0,29,9,2,6,1,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,6,9,10,9,9,9
93,0,29,5,2,5,1,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,2,8,8,8,8,7
94,1,28,8,4,6,3,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,2,6,9,9,9,7
95,1,26,8,2,5,2,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,6,7,9,8,10,7
96,1,26,5,3,7,1,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,3,7,9,9,9,9
97,1,29,10,2,5,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,5,7,5,7,6,6
98,1,39,11,2,4,2,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7,5,8,8,8,8,8
99,1,28,1,2,3,2,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,18,10,10,10,10,8
100,1,30,8,6,3,2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2,4,7,8,8,9,6
101,1,22,8,4,4,3,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4,14,8,8,8,9,9
102,1,32,10,2,4,4,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2,18,8,5,7,10,9
103,1,26,8,2,4,1,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,5,8,8,8,9,9
104,1,27,10,2,5,3,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7,3,9,8,7,9,9
105,1,25,1,1,7,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,1,8,7,9,8,6
106,1,22,1,3,7,3,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3,2,4,7,3,9,2
107,1,21,7,2,4,1,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,3,7,9,9,9,6
108,1,24,5,2,6,3,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2,2,4,8,3,7,2
109,1,25,14,4,4,1,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,3,6,9,8,9,8
110,1,28,14,2,6,1,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,3,7,9,8,8,7
111,1,27,8,4,5,1,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,1,5,8,5,8,5
112,0,20,3,6,3,1,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4,9,10,9,9,9
113,0,21,8,2,4,1,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,20,8,10,10,8,9
114,0,20,8,1,7,4,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2,,7,9,8,6,7
115,0,21,3,2,5,1,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,12,8,7,8,9,8
116,0,21,13,2,1,1,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,20,8,9,8,9,9
117,0,21,8,2,3,1,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,4,8,7,8,8,8
119,0,19,16,3,3,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,15,8,10,10,10,10
120,0,20,6,3,4,3,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,5,6,8,8,8,9
121,0,21,3,2,7,1,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,0,2,9,9,7,9
122,1,22,1,6,3,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4,10,7,10,8,8,8
123,1,18,5,4,5,1,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5,1,8,7,7,7,8
124,1,22,8,4,4,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,10,8,8,10,10,10
125,1,21,4,2,3,1,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,4,9,6,10,9,10
126,1,22,7,2,6,3,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,5,9,10,9,9,9
127,1,22,5,2,5,1,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,20,8,8,9,9,8
128,1,21,5,2,3,2,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,13,8,7,7,8,7
129,1,,8,2,3,3,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6,10,8,8,8,8,8
130,1,20,5,4,6,2,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2,1,5,6,6,6,6
131,1,19,5,4,7,3,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,0,4,6,4,6,6
132,0,27,8,2,7,2,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,,8,10,10,9,10
133,0,24,5,4,6,5,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,,6,8,7,8,7
134,0,23,10,2,5,3,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,,7,8,8,8,8
135,0,26,3,2,7,2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,,9,10,7,9,6
136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,26,8,4,4,1,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,,7,9,8,9,8
138,1,32,8,2,3,2,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,,8,8,8,8,8
139,1,37,5,4,6,3,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,,8,8,9,9,6
140,1,29,8,2,5,2,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,,7,7,9,8,8
141,1,28,8,3,6,2,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,,7,9,8,8,6
142,0,24,13,2,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,,9,9,9,10,7
143,0,33,1,2,7,4,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,,7,10,7,8,7
144,0,23,10,2,5,2,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,,7,8,8,9,9
145,0,24,10,2,7,1,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,,5,5,7,9,7
146,0,36,6,2,7,1,5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3,,8,8,8,8,8
147,0,26,8,4,5,1,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,,8,7,8,9,7
148,0,27,8,4,4,1,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,,8,9,9,9,8
149,0,28,13,2,5,2,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,,8,8,8,8,8
150,0,31,7,2,5,2,5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10,,7,9,8,9,8
151,0,28,13,2,3,1,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,,9,10,10,10,8
152,0,27,13,4,4,3,4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1,,7,9,8,10,8
153,0,28,7,4,6,3,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,,7,7,6,7,6
154,0,27,8,2,4,1,10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,,8,9,9,9,9
155,0,27,8,2,5,1,2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,,7,10,6,8,9
156,0,30,8,1,6,3,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,,8,10,10,9,10
157,0,28,8,4,6,1,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,,7,8,9,8,9
158,1,23,10,2,6,2,2,4,4,6,7,4,7,7,6,8,6,5,8,4,9,5,1,,7,9,7,9,6
159,1,28,10,2,6,2,7,7,6,9,9,8,6,4,5,8,7,7,9,8,9,7,2,,5,9,8,9,7
160,1,29,8,1,5,2,9,8,10,6,6,4,3,4,8,6,3,7,9,6,9,3,2,,8,8,9,8,9
161,1,22,10,2,4,2,9,9,9,8,7,6,7,7,9,9,8,6,8,6,9,6,2,,8,7,9,9,7
162,1,27,10,4,6,2,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,,7,8,7,9,8
163,1,26,9,2,3,3,6,2,2,4,8,8,4,1,1,8,1,6,6,4,6,2,1,,7,8,8,9,7
164,1,27,7,2,6,2,7,5,5,6,7,7,7,1,3,7,2,5,6,4,6,2,2,,7,9,6,9,4
165,1,30,13,2,6,3,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,,8,6,7,9,2
166,1,26,8,6,5,2,5,5,9,4,4,2,5,1,3,9,1,5,8,7,10,1,7,,7,7,7,7,7
167,1,23,10,2,6,2,9,9,8,6,8,8,9,2,5,6,5,6,8,6,7,3,2,,6,7,7,7,5
168,1,23,10,4,4,2,5,5,3,5,5,5,5,3,3,5,3,5,5,5,3,3,3,,5,5,5,5,5
169,1,28,10,2,6,2,10,7,8,9,9,7,7,1,6,4,2,7,6,8,8,4,4,,7,9,7,8,7
170,1,28,10,4,5,3,2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,,7,8,6,9,8
171,1,29,8,2,4,2,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,,10,10,10,10,10
172,1,27,8,2,3,1,7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,,5,6,9,8,9
173,1,22,2,2,4,1,10,8,9,6,5,6,7,4,8,7,4,5,6,9,10,3,6,,7,9,9,9,9
174,0,29,8,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,,9,10,8,8,6
175,0,23,13,6,3,1,8,2,6,8,7,7,3,3,6,6,5,6,5,6,9,5,3,,7,10,8,8,9
176,0,28,8,4,6,3,7,6,5,10,10,9,7,4,4,5,5,8,8,8,8,6,3,,6,9,7,8,6
177,0,22,13,2,5,2,5,9,6,8,6,4,2,3,7,9,7,6,7,3,4,5,1,,9,9,8,9,9
178,0,35,3,4,4,2,3,4,7,9,8,8,8,2,9,8,8,8,8,8,9,6,8,,9,9,7,8,7
179,0,30,6,3,6,3,5,5,10,10,7,7,5,1,7,10,1,8,8,7,9,10,9,,8,10,6,8,10
180,0,24,8,4,4,2,7,7,5,9,5,5,8,5,9,6,7,9,9,7,8,9,7,,9,9,10,9,9
181,0,22,4,1,5,5,3,6,5,9,9,9,6,3,9,9,9,9,9,9,9,9,6,,9,9,9,9,9
182,0,22,4,1,4,3,5,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,,8,8,8,8,10
183,0,24,11,2,7,3,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,,9,7,9,9,7
184,1,34,8,2,4,2,5,2,4,8,8,7,8,3,8,8,3,9,8,5,6,2,8,,6,10,7,9,5
185,1,25,2,4,7,4,8,7,8,8,8,9,6,7,8,9,9,9,9,8,9,9,9,,10,10,7,8,8
186,1,24,5,4,7,3,5,1,4,9,5,3,6,1,1,6,7,4,7,8,8,6,3,,4,8,4,7,6
187,1,26,8,2,4,1,3,5,10,5,10,10,1,2,1,10,5,8,8,10,10,1,1,,8,9,7,10,7
188,1,21,5,2,3,1,2,1,5,10,8,8,5,7,5,7,3,5,5,5,7,7,3,,7,5,7,10,10
189,1,27,1,6,6,2,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,,8,8,8,8,9
190,1,25,13,2,7,3,7,7,8,3,2,2,6,5,9,8,2,4,7,9,10,3,1,,7,7,7,7,7
191,1,28,8,2,4,2,8,1,7,8,6,6,6,1,8,7,3,4,8,4,7,1,7,,7,7,6,7,8
192,1,24,8,2,6,2,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,,7,10,9,9,10
193,1,25,1,4,6,2,8,10,7,9,9,8,1,1,4,10,10,10,10,9,9,9,5,,7,9,5,10,7
194,0,24,3,2,3,2,8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,,9,10,8,10,10
195,0,27,10,2,2,1,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,,9,8,10,10,8
196,0,25,7,4,1,1,3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,,9,9,9,9,9
197,0,24,13,6,4,3,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,,7,8,9,9,7
198,0,23,13,4,2,3,6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,,7,9,7,9,7
199,0,30,7,2,5,3,8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,,9,7,7,9,9
200,0,25,8,2,7,2,10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,,8,10,8,8,8
201,0,25,8,2,4,2,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,,7,8,9,9,8
202,0,22,2,2,6,2,8,8,9,7,6,4,4,1,6,8,7,7,9,6,7,7,1,,7,10,9,10,8
203,0,22,2,2,6,2,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,,9,8,9,10,7
204,0,26,8,2,5,1,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,,9,5,9,10,10
205,0,23,10,2,7,1,8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,,7,8,9,10,5
206,0,31,8,1,5,1,5,5,5,9,7,7,7,7,9,9,5,7,7,7,9,5,7,,8,8,8,8,8
207,0,23,10,2,3,1,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,,8,8,10,8,9
208,0,25,10,1,4,3,9,7,7,9,10,10,10,5,8,8,5,7,9,10,10,9,8,,9,10,10,10,10
209,0,28,13,1,6,2,3,2,6,8,5,5,6,8,8,3,6,7,8,7,10,3,3,,7,9,8,7,8
210,0,29,10,2,6,3,9,3,9,8,9,9,9,1,2,9,5,7,7,7,7,5,1,,8,8,6,9,9
211,0,28,13,2,4,1,9,8,9,10,9,9,5,8,1,9,9,10,10,9,7,10,7,,7,9,9,9,9
212,0,27,8,3,5,2,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,,7,9,7,8,9
213,0,25,13,3,4,2,8,7,9,8,8,7,6,7,7,8,7,10,10,8,9,8,5,,8,10,9,9,9
214,1,23,10,2,6,2,9,3,10,8,6,7,7,4,7,3,1,9,6,4,6,7,1,,8,10,10,9,8
215,1,26,8,4,4,1,8,6,9,9,6,4,2,7,6,9,5,2,9,2,7,9,2,,7,8,9,9,9
216,1,27,8,2,5,3,2,1,2,7,7,5,3,5,1,13,6,6,7,6,5,2,1,,5,10,9,9,10
217,1,26,10,2,4,2,1,2,8,7,8,8,10,1,2,10,4,8,6,10,10,1,7,,7,10,7,10,10
218,1,24,10,2,4,2,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,,7,6,3,10,10
219,1,26,8,2,3,2,8,2,7,7,7,8,3,3,6,7,2,6,7,7,10,3,10,,7,7,6,9,6
220,1,25,13,6,5,2,9,9,5,10,9,10,10,6,8,10,2,5,5,5,9,5,5,,10,10,10,10,10
221,1,27,8,4,6,3,5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,,7,9,7,9,9
222,1,27,2,2,6,3,5,1,6,8,10,9,6,4,7,9,1,9,9,10,8,3,1,,4,9,7,9,4
223,1,28,7,2,4,2,8,7,6,6,8,7,6,7,8,9,6,5,10,6,7,5,2,,7,8,7,9,6
224,1,32,3,2,7,4,6,4,4,7,5,5,5,6,8,10,1,8,9,2,4,1,8,,8,10,8,8,8
225,1,28,8,3,7,2,10,8,3,8,8,8,7,3,9,8,8,9,7,9,9,2,6,,5,9,7,6,7
226,1,23,8,2,3,1,10,7,8,6,7,7,3,2,8,4,5,6,7,4,9,2,4,,10,10,10,10,10
227,1,26,8,2,6,3,7,7,7,10,9,7,2,6,5,10,8,8,9,5,7,5,1,,7,10,8,10,10
228,1,24,10,4,7,3,3,1,2,8,4,5,8,4,6,9,2,4,7,8,9,2,8,,5,8,4,7,8
229,1,28,10,2,6,3,8,5,7,7,1,1,5,3,3,8,5,1,5,2,6,1,1,,8,7,5,10,10
230,1,42,13,2,7,3,1,1,2,1,10,10,10,1,1,10,10,10,10,5,10,10,6,,6,6,6,6,6
231,1,30,13,3,6,3,5,2,7,9,9,6,8,1,9,9,1,8,9,9,10,1,7,,8,8,8,9,3
232,1,31,13,2,5,4,5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,,8,8,8,8,6
233,1,29,13,4,3,2,10,9,8,10,8,8,7,9,8,5,10,8,10,10,10,8,6,,7,8,8,7,8
234,0,22,3,6,7,3,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4,,7,7,8,8,10
